Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5493,1,1,1,1,e,57,SPACE,"Inst.bmp",15682,True
5493,1,1,2,42,gg,53,/,"Victoria",621,True
5493,1,1,3,91,gg,53,/,"Nicole",708,True
5493,1,1,4,67,gg,53,/,"Paula",989,True
5493,1,1,5,19,gg,53,/,"Rihanna",731,True
5493,1,1,6,31,gg,53,/,"Diana",640,True
5493,1,1,7,69,gg,53,/,"Hailey",1851,True
5493,1,1,8,79,gg,53,/,"Stephanie",861,True
5493,1,1,9,38,gg,53,/,"Lillian",724,True
5493,1,1,10,32,gg,53,/,"Layla",702,True
5493,1,1,11,84,gg,53,/,"Isabella",562,True
5493,1,1,12,3,gg,53,/,"Brianna",1783,True
5493,1,1,13,20,gg,53,/,"Anna",567,True
5493,1,1,14,87,gg,53,/,"Daniella",613,True
5493,1,1,15,62,gg,53,/,"Kaitlyn",831,True
5493,1,1,16,24,gg,53,/,"Erica",954,True
5493,1,1,17,60,gg,53,/,"Gabriella",1041,True
5493,1,1,18,88,gg,53,/,"Sarah",1094,True
5493,1,1,19,23,gg,53,/,"Alyssa",626,True
5493,1,1,20,66,gg,44,Z,"Rachel",498,False
5493,1,1,21,25,gg,53,/,"Wendy",572,True
5493,1,1,22,77,gg,53,/,"Carmen",641,True
5493,1,1,23,14,gg,53,/,"Penny",889,True
5493,1,1,24,30,gg,44,Z,"Scarlett",965,False
5493,1,1,25,50,gg,53,/,"Bella",656,True
5493,1,1,26,7,gb,44,Z,"Brett",1009,True
5493,1,1,27,43,gb,53,/,"Gabe",1037,False
5493,1,1,28,68,gb,44,Z,"Charles",1711,True
5493,1,1,29,51,gb,44,Z,"Hector",862,True
5493,1,1,30,17,gb,44,Z,"Lucas",582,True
5493,1,1,31,16,gb,44,Z,"Isaac",630,True
5493,1,1,32,58,gb,44,Z,"Mike",703,True
5493,1,1,33,59,gb,44,Z,"Marc",668,True
5493,1,1,34,89,gb,44,Z,"Timothy",1554,True
5493,1,1,35,78,gb,44,Z,"Oliver",863,True
5493,1,1,36,54,gb,44,Z,"Lance",830,True
5493,1,1,37,10,gb,44,Z,"Clark",983,True
5493,1,1,38,90,gb,44,Z,"Gary",588,True
5493,1,1,39,61,gb,44,Z,"Daniel",648,True
5493,1,1,40,22,gb,44,Z,"Carl",818,True
5493,1,1,41,2,gb,44,Z,"William",1200,True
5493,1,1,42,65,gb,44,Z,"Adam",901,True
5493,1,1,43,64,gb,44,Z,"Bobby",714,True
5493,1,1,44,74,gb,44,Z,"Peter",772,True
5493,1,1,45,70,gb,44,Z,"Erik",585,True
5493,1,1,46,40,gb,44,Z,"Richard",584,True
5493,1,1,47,5,gb,44,Z,"Liam",1201,True
5493,1,1,48,72,gb,44,Z,"Thomas",660,True
5493,1,1,49,21,gb,44,Z,"Michael",560,True
5493,1,1,52,92,bg,53,/,"Cindy",817,True
5493,1,1,53,80,bg,53,/,"Natalie",563,True
5493,1,1,54,95,bg,44,Z,"Eve",884,False
5493,1,1,55,28,bg,44,Z,"Michelle",588,False
5493,1,1,56,9,bg,53,/,"Grace",1139,True
5493,1,1,57,35,bg,53,/,"Mary",807,True
5493,1,1,58,45,bg,44,Z,"Heather",939,False
5493,1,1,59,29,bg,53,/,"Joanne",630,True
5493,1,1,60,27,bg,53,/,"Kaylee",772,True
5493,1,1,61,11,bg,53,/,"Mia",1066,True
5493,1,1,62,18,bg,53,/,"Amelia",912,True
5493,1,1,63,76,bg,53,/,"Elizabeth",606,True
5493,1,1,64,47,bg,53,/,"Tiffany",779,True
5493,1,1,65,52,bg,53,/,"Claire",853,True
5493,1,1,66,85,bg,53,/,"Emma",1029,True
5493,1,1,67,6,bg,53,/,"Christina",1096,True
5493,1,1,68,75,bg,53,/,"Brittney",743,True
5493,1,1,69,39,bg,53,/,"Tamara",1177,True
5493,1,1,70,46,bg,53,/,"Alice",703,True
5493,1,1,71,55,bg,44,Z,"Jill",838,False
5493,1,1,72,96,bg,53,/,"Charlotte",929,True
5493,1,1,73,33,bg,53,/,"Lucy",635,True
5493,1,1,74,71,bg,53,/,"Olivia",772,True
5493,1,1,75,82,bg,44,Z,"Joy",1652,False
5493,1,1,76,37,bb,44,Z,"Edward",1212,True
5493,1,1,77,26,bb,44,Z,"Samuel",645,True
5493,1,1,78,44,bb,44,Z,"Brian",1026,True
5493,1,1,79,81,bb,44,Z,"Evan",606,True
5493,1,1,80,41,bb,44,Z,"Andrew",564,True
5493,1,1,81,94,bb,44,Z,"Ethan",621,True
5493,1,1,82,4,bb,44,Z,"Kelvin",1065,True
5493,1,1,83,93,bb,53,/,"Christian",1329,False
5493,1,1,84,53,bb,44,Z,"David",523,True
5493,1,1,85,36,bb,44,Z,"Kyle",1079,True
5493,1,1,86,86,bb,44,Z,"Nathan",798,True
5493,1,1,87,15,bb,44,Z,"Victor",648,True
5493,1,1,88,83,bb,44,Z,"Arthur",643,True
5493,1,1,89,57,bb,44,Z,"Simon",640,True
5493,1,1,90,8,bb,44,Z,"Scott",696,True
5493,1,1,91,56,bb,44,Z,"Nicholas",699,True
5493,1,1,92,48,bb,44,Z,"Cameron",1452,True
5493,1,1,93,49,bb,44,Z,"Harold",674,True
5493,1,1,94,34,bb,44,Z,"John",675,True
5493,1,1,95,97,bb,44,Z,"Jack",861,True
5493,1,1,96,73,bb,44,Z,"Ryan",572,True
5493,1,1,97,13,bb,44,Z,"Anthony",637,True
5493,1,1,98,63,bb,44,Z,"Paul",551,True
5493,1,1,99,12,bb,44,Z,"Stephen",703,True
5493,1,1,100,98,e,2,2,"rec.bmp",2858,False
5493,1,1,101,99,e,2,2,"sex.bmp",2011,False
5493,1,1,103,100,e,-1,Chinese,"Please indicate your race:",5849,True
5493,1,1,103,101,e,-1,24,"Please indicate your age:",2716,True
5493,1,1,104,102,e,-1,0,"Please indicate how much exposure you have to children in a typical week in hours:",9982,True
5493,1,1,105,103,e,57,SPACE,"debrief.bmp",68236,True
