Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8781,1,1,1,1,e,57,SPACE,Inst,9076,TRUE,
8781,1,1,2,34,gg,53,/,Claire,643,TRUE,
8781,1,1,3,62,gg,44,Z,Carmen,430,FALSE,
8781,1,1,4,85,gg,53,/,Eve,638,TRUE,
8781,1,1,5,46,gg,53,/,Tamara,540,TRUE,
8781,1,1,6,31,gg,44,Z,Tiffany,476,FALSE,
8781,1,1,7,97,gg,53,/,Mia,578,TRUE,
8781,1,1,8,6,gg,53,/,Victoria,544,TRUE,
8781,1,1,9,75,gg,53,/,Wendy,601,TRUE,
8781,1,1,10,70,gg,53,/,Erica,638,TRUE,
8781,1,1,11,50,gg,53,/,Michelle,599,TRUE,
8781,1,1,12,2,gg,53,/,Brianna,945,TRUE,
8781,1,1,13,57,gg,53,/,Alyssa,503,TRUE,
8781,1,1,14,83,gg,53,/,Paula,705,TRUE,
8781,1,1,15,65,gg,53,/,Gabriella,512,TRUE,
8781,1,1,16,20,gg,53,/,Brittney,575,TRUE,
8781,1,1,17,78,gg,44,Z,Elizabeth,477,FALSE,
8781,1,1,18,11,gg,44,Z,Nicole,491,FALSE,
8781,1,1,19,56,gg,53,/,Jill,565,TRUE,
8781,1,1,20,41,gg,53,/,Kaitlyn,541,TRUE,
8781,1,1,21,40,gg,53,/,Stephanie,530,TRUE,
8781,1,1,22,33,gg,53,/,Christina,637,TRUE,
8781,1,1,23,51,gg,44,Z,Lucy,550,FALSE,
8781,1,1,24,69,gg,53,/,Rachel,723,TRUE,
8781,1,1,25,94,gg,44,Z,Lillian,556,FALSE,
8781,1,1,26,61,gb,44,Z,Bobby,465,TRUE,
8781,1,1,27,91,gb,44,Z,Nicholas,496,TRUE,
8781,1,1,28,4,gb,44,Z,Anthony,527,TRUE,
8781,1,1,29,76,gb,44,Z,Hector,464,TRUE,
8781,1,1,30,59,gb,44,Z,Cameron,641,TRUE,
8781,1,1,31,67,gb,44,Z,Brett,631,TRUE,
8781,1,1,32,30,gb,44,Z,Michael,705,TRUE,
8781,1,1,33,32,gb,44,Z,Richard,514,TRUE,
8781,1,1,34,47,gb,44,Z,Clark,486,TRUE,
8781,1,1,35,71,gb,53,/,Alexander,564,FALSE,
8781,1,1,36,21,gb,44,Z,Victor,408,TRUE,
8781,1,1,37,18,gb,44,Z,Charles,558,TRUE,
8781,1,1,38,68,gb,44,Z,Lance,645,TRUE,
8781,1,1,39,77,gb,44,Z,John,581,TRUE,
8781,1,1,40,81,gb,44,Z,Simon,479,TRUE,
8781,1,1,41,42,gb,44,Z,Jack,558,TRUE,
8781,1,1,42,49,gb,44,Z,William,558,TRUE,
8781,1,1,43,58,gb,44,Z,Gary,593,TRUE,
8781,1,1,44,63,gb,44,Z,Marc,564,TRUE,
8781,1,1,45,15,gb,53,/,Gabe,578,FALSE,
8781,1,1,46,54,gb,44,Z,Edward,573,TRUE,
8781,1,1,47,86,gb,44,Z,Andrew,523,TRUE,
