Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8778,1,1,1,1,e,57,SPACE,Inst,103917,TRUE,
8778,1,1,2,60,gg,53,/,Eve,1006,TRUE,
8778,1,1,3,87,gg,53,/,Joy,760,TRUE,
8778,1,1,4,37,gg,53,/,Isabella,594,TRUE,
8778,1,1,5,70,gg,53,/,Christina,728,TRUE,
8778,1,1,6,71,gg,53,/,Penny,1400,TRUE,
8778,1,1,7,48,gg,53,/,Tiffany,734,TRUE,
8778,1,1,8,72,gg,53,/,Mary,678,TRUE,
8778,1,1,9,21,gg,53,/,Claire,619,TRUE,
8778,1,1,10,89,gg,53,/,Mia,701,TRUE,
8778,1,1,11,17,gg,53,/,Alyssa,782,TRUE,
8778,1,1,12,53,gg,53,/,Anna,600,TRUE,
8778,1,1,13,35,gg,53,/,Alexandra,716,TRUE,
8778,1,1,14,2,gg,53,/,Heather,1981,TRUE,
8778,1,1,15,85,gg,53,/,Lucy,657,TRUE,
8778,1,1,16,57,gg,53,/,Daniella,850,TRUE,
8778,1,1,17,14,gg,53,/,Kaitlyn,811,TRUE,
8778,1,1,18,8,gg,53,/,Lillian,797,TRUE,
8778,1,1,19,24,gg,53,/,Michelle,728,TRUE,
8778,1,1,20,15,gg,53,/,Kaylee,667,TRUE,
8778,1,1,21,55,gg,53,/,Alice,602,TRUE,
8778,1,1,22,69,gg,53,/,Tamara,725,TRUE,
8778,1,1,23,43,gg,53,/,Emma,624,TRUE,
8778,1,1,24,3,gg,53,/,Stephanie,1064,TRUE,
8778,1,1,25,29,gg,53,/,Paula,604,TRUE,
8778,1,1,26,49,gb,44,Z,Thomas,734,TRUE,
8778,1,1,27,22,gb,44,Z,Erik,562,TRUE,
8778,1,1,28,28,gb,44,Z,Clark,580,TRUE,
8778,1,1,29,81,gb,44,Z,Oliver,686,TRUE,
8778,1,1,30,78,gb,44,Z,John,970,TRUE,
8778,1,1,31,38,gb,44,Z,Simon,610,TRUE,
8778,1,1,32,52,gb,44,Z,Brett,701,TRUE,
8778,1,1,33,16,gb,44,Z,Carl,608,TRUE,
8778,1,1,34,92,gb,44,Z,Isaac,775,TRUE,
8778,1,1,35,32,gb,44,Z,Peter,600,TRUE,
8778,1,1,36,61,gb,44,Z,Samuel,814,TRUE,
8778,1,1,37,26,gb,44,Z,Liam,849,TRUE,
8778,1,1,38,63,gb,44,Z,Harold,818,TRUE,
8778,1,1,39,30,gb,44,Z,Evan,627,TRUE,
8778,1,1,40,40,gb,44,Z,Anthony,1083,TRUE,
8778,1,1,41,64,gb,44,Z,Michael,1130,TRUE,
8778,1,1,42,90,gb,44,Z,Hector,921,TRUE,
8778,1,1,43,33,gb,44,Z,Kyle,584,TRUE,
8778,1,1,44,79,gb,44,Z,Ethan,667,TRUE,
8778,1,1,45,6,gb,44,Z,Andrew,845,TRUE,
8778,1,1,46,7,gb,44,Z,Paul,722,TRUE,
8778,1,1,47,46,gb,44,Z,Christian,736,TRUE,
8778,1,1,48,86,gb,44,Z,David,966,TRUE,
8778,1,1,49,93,gb,44,Z,Mike,656,TRUE,
8778,1,1,52,84,bg,53,/,Wendy,935,TRUE,
8778,1,1,53,91,bg,53,/,Erica,1484,TRUE,
8778,1,1,54,56,bg,53,/,Joanne,1170,TRUE,
8778,1,1,55,9,bg,53,/,Samantha,749,TRUE,
8778,1,1,56,82,bg,53,/,Rachel,642,TRUE,
8778,1,1,57,67,bg,53,/,Olivia,621,TRUE,
8778,1,1,58,27,bg,53,/,Brittney,679,TRUE,
8778,1,1,59,5,bg,53,/,Natalie,1539,TRUE,
8778,1,1,60,59,bg,53,/,Rihanna,908,TRUE,
8778,1,1,61,23,bg,53,/,Cindy,635,TRUE,
8778,1,1,62,74,bg,53,/,Charlotte,611,TRUE,
8778,1,1,63,65,bg,53,/,Gabriella,796,TRUE,
8778,1,1,64,39,bg,53,/,Jill,754,TRUE,
8778,1,1,65,96,bg,53,/,Elizabeth,1341,TRUE,
8778,1,1,66,62,bg,53,/,Nicole,1053,TRUE,
8778,1,1,67,42,bg,53,/,Diana,635,TRUE,
8778,1,1,68,36,bg,53,/,Sarah,678,TRUE,
8778,1,1,69,58,bg,53,/,Scarlett,1055,TRUE,
8778,1,1,70,41,bg,53,/,Victoria,703,TRUE,
8778,1,1,71,76,bg,53,/,Bella,695,TRUE,
8778,1,1,72,54,bg,53,/,Grace,711,TRUE,
8778,1,1,73,68,bg,53,/,Layla,748,TRUE,
8778,1,1,74,75,bg,53,/,Amelia,682,TRUE,
8778,1,1,75,73,bg,53,/,Brianna,746,TRUE,
8778,1,1,76,18,bb,44,Z,Gary,782,TRUE,
8778,1,1,77,50,bb,44,Z,Victor,624,TRUE,
8778,1,1,78,88,bb,44,Z,Nathan,657,TRUE,
8778,1,1,79,11,bb,44,Z,Nicholas,706,TRUE,
8778,1,1,80,66,bb,44,Z,Adam,736,TRUE,
8778,1,1,81,20,bb,44,Z,Gabe,629,TRUE,
8778,1,1,82,80,bb,44,Z,Stephen,824,TRUE,
8778,1,1,83,47,bb,44,Z,Jack,682,TRUE,
8778,1,1,84,95,bb,44,Z,Ryan,1006,TRUE,
8778,1,1,85,77,bb,44,Z,Arthur,779,TRUE,
8778,1,1,86,83,bb,44,Z,Scott,991,TRUE,
8778,1,1,87,31,bb,44,Z,Edward,592,TRUE,
8778,1,1,88,25,bb,44,Z,Richard,627,TRUE,
8778,1,1,89,10,bb,44,Z,Kelvin,1110,TRUE,
8778,1,1,90,12,bb,44,Z,Lucas,596,TRUE,
8778,1,1,91,94,bb,44,Z,Daniel,733,TRUE,
8778,1,1,92,97,bb,44,Z,Cameron,607,TRUE,
8778,1,1,93,51,bb,44,Z,William,655,TRUE,
8778,1,1,94,4,bb,44,Z,Lance,2229,TRUE,
8778,1,1,95,34,bb,44,Z,Charles,664,TRUE,
8778,1,1,96,13,bb,44,Z,Alexander,612,TRUE,
8778,1,1,97,45,bb,44,Z,Marc,592,TRUE,
8778,1,1,98,19,bb,44,Z,Timothy,622,TRUE,
8778,1,1,99,44,bb,44,Z,Josh,551,TRUE,
8778,1,1,100,98,e,3,2,rec,7064,FALSE,
8778,1,1,101,99,e,2,1,sex,2015,TRUE,
8778,1,1,103,100,e,-1,caucasian,Please indicate your race:,7356,TRUE,
8778,1,1,103,101,e,-1,18,Please indicate your age:,3473,TRUE,
8778,1,1,104,102,e,-1,1,Please indicate how much exposure you have to children in a typical week in hours:,19987,TRUE,
8778,1,1,105,103,e,57,SPACE,debrief,27638,TRUE,
