Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8782,1,1,1,1,e,57,SPACE,Inst,25675,TRUE,
8782,1,1,2,94,gg,44,Z,Erica,578,FALSE,
8782,1,1,3,12,gg,53,/,Carmen,1076,TRUE,
8782,1,1,4,68,gg,53,/,Michelle,645,TRUE,
8782,1,1,5,69,gg,53,/,Alyssa,579,TRUE,
8782,1,1,6,3,gg,53,/,Joy,771,TRUE,
8782,1,1,7,47,gg,53,/,Amelia,682,TRUE,
8782,1,1,8,4,gg,53,/,Paula,860,TRUE,
8782,1,1,9,40,gg,53,/,Charlotte,627,TRUE,
8782,1,1,10,83,gg,53,/,Christina,592,TRUE,
8782,1,1,11,70,gg,53,/,Mary,587,TRUE,
8782,1,1,12,81,gg,53,/,Sarah,644,TRUE,
8782,1,1,13,44,gg,53,/,Emma,572,TRUE,
8782,1,1,14,50,gg,53,/,Stephanie,772,TRUE,
8782,1,1,15,77,gg,53,/,Lillian,632,TRUE,
8782,1,1,16,72,gg,53,/,Alexandra,792,TRUE,
8782,1,1,17,20,gg,53,/,Grace,599,TRUE,
8782,1,1,18,16,gg,53,/,Layla,710,TRUE,
8782,1,1,19,82,gg,53,/,Tiffany,602,TRUE,
8782,1,1,20,62,gg,53,/,Tamara,620,TRUE,
8782,1,1,21,87,gg,53,/,Hailey,573,TRUE,
8782,1,1,22,66,gg,53,/,Lucy,561,TRUE,
8782,1,1,23,28,gg,53,/,Brittney,589,TRUE,
8782,1,1,24,23,gg,53,/,Cindy,607,TRUE,
8782,1,1,25,60,gg,53,/,Olivia,531,TRUE,
8782,1,1,26,71,gb,44,Z,Carl,659,TRUE,
8782,1,1,27,42,gb,53,/,Brett,579,FALSE,
8782,1,1,28,88,gb,44,Z,Arthur,582,TRUE,
8782,1,1,29,37,gb,44,Z,Oliver,473,TRUE,
8782,1,1,30,33,gb,53,/,William,580,FALSE,
8782,1,1,31,57,gb,44,Z,Erik,579,TRUE,
8782,1,1,32,54,gb,44,Z,Thomas,561,TRUE,
8782,1,1,33,10,gb,44,Z,Alexander,745,TRUE,
8782,1,1,34,51,gb,44,Z,Ethan,652,TRUE,
8782,1,1,35,41,gb,53,/,Lance,562,FALSE,
8782,1,1,36,24,gb,44,Z,Liam,646,TRUE,
8782,1,1,37,79,gb,44,Z,Hector,998,TRUE,
8782,1,1,38,19,gb,44,Z,Stephen,592,TRUE,
8782,1,1,39,85,gb,44,Z,Samuel,725,TRUE,
8782,1,1,40,15,gb,44,Z,Mike,591,TRUE,
8782,1,1,41,39,gb,44,Z,Richard,586,TRUE,
8782,1,1,42,35,gb,44,Z,Charles,515,TRUE,
8782,1,1,43,74,gb,44,Z,Kyle,801,TRUE,
8782,1,1,44,80,gb,44,Z,Andrew,814,TRUE,
8782,1,1,45,26,gb,44,Z,Simon,652,TRUE,
8782,1,1,46,14,gb,44,Z,Isaac,1175,TRUE,
8782,1,1,47,34,gb,44,Z,Kelvin,628,TRUE,
8782,1,1,48,64,gb,44,Z,Scott,849,TRUE,
8782,1,1,49,48,gb,44,Z,Nicholas,582,TRUE,
8782,1,1,52,93,bg,53,/,Bella,611,TRUE,
8782,1,1,53,31,bg,53,/,Brianna,812,TRUE,
8782,1,1,54,45,bg,53,/,Wendy,588,TRUE,
8782,1,1,55,55,bg,53,/,Kaylee,626,TRUE,
8782,1,1,56,89,bg,53,/,Samantha,835,TRUE,
8782,1,1,57,59,bg,53,/,Kaitlyn,613,TRUE,
8782,1,1,58,56,bg,44,Z,Nicole,521,FALSE,
8782,1,1,59,46,bg,53,/,Scarlett,628,TRUE,
8782,1,1,60,53,bg,53,/,Jill,643,TRUE,
8782,1,1,61,22,bg,53,/,Rihanna,691,TRUE,
8782,1,1,62,17,bg,44,Z,Mia,546,FALSE,
8782,1,1,63,92,bg,53,/,Diana,587,TRUE,
8782,1,1,64,38,bg,53,/,Joanne,622,TRUE,
8782,1,1,65,25,bg,53,/,Penny,572,TRUE,
8782,1,1,66,43,bg,53,/,Anna,571,TRUE,
8782,1,1,67,29,bg,53,/,Alice,653,TRUE,
