Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5661,1,1,1,1,e,57,SPACE,"Inst.bmp",8715,True
5661,1,1,2,3,gg,53,/,"Gabriella",1046,True
5661,1,1,3,13,gg,53,/,"Emma",744,True
5661,1,1,4,55,gg,53,/,"Rachel",1413,True
5661,1,1,5,88,gg,53,/,"Wendy",57,True
5661,1,1,6,65,gg,44,Z,"Christina",53,False
5661,1,1,7,80,gg,53,/,"Alyssa",6,True
5661,1,1,8,72,gg,53,/,"Brittney",141,True
5661,1,1,9,63,gg,44,Z,"Amelia",264,False
5661,1,1,10,53,gg,53,/,"Anna",26,True
5661,1,1,11,61,gg,53,/,"Sarah",73,True
5661,1,1,12,36,gg,53,/,"Bella",426,True
5661,1,1,13,34,gg,53,/,"Joanne",1859,True
5661,1,1,14,19,gg,53,/,"Alexandra",1108,True
5661,1,1,15,78,gg,44,Z,"Paula",616,False
5661,1,1,16,52,gg,44,Z,"Joy",45,False
5661,1,1,17,23,gg,53,/,"Diana",596,True
5661,1,1,18,97,gg,53,/,"Alice",79,True
5661,1,1,19,43,gg,44,Z,"Elizabeth",75,False
5661,1,1,20,50,gg,53,/,"Kaylee",131,True
5661,1,1,21,46,gg,53,/,"Tamara",157,True
5661,1,1,22,91,gg,44,Z,"Stephanie",56,False
5661,1,1,23,69,gg,53,/,"Penny",52,True
5661,1,1,24,22,gg,53,/,"Kaitlyn",552,True
5661,1,1,25,41,gg,53,/,"Carmen",130,True
5661,1,1,26,9,gb,44,Z,"Lucas",1017,True
5661,1,1,27,75,gb,53,/,"Ryan",181,False
5661,1,1,28,27,gb,44,Z,"Peter",550,True
5661,1,1,29,58,gb,53,/,"Brett",269,False
5661,1,1,30,90,gb,53,/,"Daniel",139,False
5661,1,1,31,48,gb,53,/,"Thomas",4,False
5661,1,1,32,7,gb,44,Z,"Michael",603,True
5661,1,1,33,54,gb,44,Z,"William",938,True
5661,1,1,34,89,gb,44,Z,"David",287,True
5661,1,1,35,74,gb,44,Z,"Alexander",161,True
5661,1,1,36,10,gb,44,Z,"Oliver",747,True
5661,1,1,37,44,gb,53,/,"Josh",80,False
5661,1,1,38,68,gb,53,/,"Kelvin",163,False
5661,1,1,39,59,gb,53,/,"Anthony",449,False
5661,1,1,40,42,gb,53,/,"Arthur",95,False
5661,1,1,41,16,gb,44,Z,"Cameron",1130,True
5661,1,1,42,20,gb,44,Z,"Samuel",658,True
5661,1,1,43,83,gb,53,/,"Jack",62,False
5661,1,1,44,82,gb,44,Z,"Gary",6,True
5661,1,1,45,76,gb,53,/,"Simon",117,False
5661,1,1,46,6,gb,44,Z,"Kyle",684,True
5661,1,1,47,93,gb,44,Z,"Stephen",132,True
5661,1,1,48,86,gb,53,/,"Marc",130,False
5661,1,1,49,60,gb,53,/,"Lance",216,False
5661,1,1,52,11,bg,53,/,"Cindy",798,True
5661,1,1,53,35,bg,53,/,"Hailey",1211,True
5661,1,1,54,87,bg,44,Z,"Mary",108,False
5661,1,1,55,45,bg,44,Z,"Rihanna",30,False
5661,1,1,56,79,bg,44,Z,"Victoria",48,False
5661,1,1,57,47,bg,44,Z,"Charlotte",79,False
5661,1,1,58,71,bg,53,/,"Claire",21,True
5661,1,1,59,64,bg,44,Z,"Nicole",71,False
5661,1,1,60,8,bg,53,/,"Isabella",634,True
5661,1,1,61,39,bg,44,Z,"Olivia",23,False
5661,1,1,62,95,bg,53,/,"Daniella",132,True
5661,1,1,63,33,bg,53,/,"Layla",1236,True
5661,1,1,64,5,bg,44,Z,"Mia",427,False
5661,1,1,65,96,bg,53,/,"Brianna",141,True
5661,1,1,66,28,bg,53,/,"Erica",1224,True
5661,1,1,67,26,bg,53,/,"Grace",1397,True
5661,1,1,68,57,bg,44,Z,"Jill",413,False
5661,1,1,69,14,bg,53,/,"Natalie",673,True
5661,1,1,70,38,bg,53,/,"Lucy",282,True
5661,1,1,71,81,bg,44,Z,"Michelle",29,False
5661,1,1,72,37,bg,44,Z,"Eve",607,False
5661,1,1,73,18,bg,53,/,"Lillian",713,True
5661,1,1,74,49,bg,53,/,"Tiffany",221,True
5661,1,1,75,84,bg,53,/,"Scarlett",43,True
5661,1,1,76,4,bb,44,Z,"Richard",627,True
5661,1,1,77,94,bb,53,/,"Christian",158,False
5661,1,1,78,40,bb,53,/,"Nathan",107,False
5661,1,1,79,29,bb,44,Z,"Edward",6694,True
5661,1,1,80,51,bb,53,/,"Mike",78,False
5661,1,1,81,31,bb,44,Z,"Erik",1374,True
5661,1,1,82,25,bb,44,Z,"Adam",704,True
5661,1,1,83,12,bb,44,Z,"John",823,True
5661,1,1,84,92,bb,53,/,"Brian",213,False
5661,1,1,85,73,bb,53,/,"Victor",152,False
5661,1,1,86,30,bb,44,Z,"Hector",1180,True
5661,1,1,87,17,bb,44,Z,"Evan",528,True
5661,1,1,88,70,bb,44,Z,"Paul",129,True
5661,1,1,89,77,bb,53,/,"Nicholas",265,False
5661,1,1,90,85,bb,44,Z,"Ethan",27,True
5661,1,1,91,56,bb,53,/,"Scott",220,False
5661,1,1,92,62,bb,53,/,"Harold",350,False
5661,1,1,93,66,bb,44,Z,"Timothy",59,True
5661,1,1,94,2,bb,44,Z,"Bobby",1579,True
5661,1,1,95,24,bb,44,Z,"Clark",717,True
5661,1,1,96,15,bb,44,Z,"Liam",719,True
5661,1,1,97,21,bb,44,Z,"Isaac",567,True
5661,1,1,98,67,bb,44,Z,"Andrew",208,True
5661,1,1,99,32,bb,44,Z,"Gabe",2470,True
5661,1,1,100,98,e,2,2,"rec.bmp",6675,False
5661,1,1,101,99,e,2,2,"sex.bmp",1597,False
5661,1,1,103,100,e,-1,white,"Please indicate your race:",3061,True
5661,1,1,103,101,e,-1,21,"Please indicate your age:",1791,True
5661,1,1,104,102,e,-1,1,"Please indicate how much exposure you have to children in a typical week in hours:",5107,True
5661,1,1,105,103,e,57,SPACE,"debrief.bmp",157061,True
