Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8776,1,1,1,1,e,57,SPACE,Inst,24286,TRUE,
8776,1,1,2,85,gg,53,/,Michelle,846,TRUE,
8776,1,1,3,53,gg,53,/,Joy,824,TRUE,
8776,1,1,4,88,gg,53,/,Tamara,1035,TRUE,
8776,1,1,5,62,gg,53,/,Victoria,966,TRUE,
8776,1,1,6,45,gg,53,/,Hailey,1957,TRUE,
8776,1,1,7,17,gg,53,/,Lucy,743,TRUE,
8776,1,1,8,79,gg,53,/,Carmen,1583,TRUE,
8776,1,1,9,87,gg,53,/,Alice,595,TRUE,
8776,1,1,10,96,gg,53,/,Lillian,699,TRUE,
8776,1,1,11,9,gg,53,/,Penny,2171,TRUE,
8776,1,1,12,50,gg,53,/,Daniella,651,TRUE,
8776,1,1,13,24,gg,53,/,Emma,848,TRUE,
8776,1,1,14,84,gg,53,/,Kaitlyn,1065,TRUE,
8776,1,1,15,5,gg,53,/,Wendy,1724,TRUE,
8776,1,1,16,10,gg,53,/,Brianna,980,TRUE,
8776,1,1,17,97,gg,53,/,Rachel,863,TRUE,
8776,1,1,18,6,gg,53,/,Grace,1671,TRUE,
8776,1,1,19,55,gg,44,Z,Jill,708,FALSE,
8776,1,1,20,42,gg,53,/,Mia,862,TRUE,
8776,1,1,21,80,gg,53,/,Heather,1327,TRUE,
8776,1,1,22,81,gg,53,/,Sarah,930,TRUE,
8776,1,1,23,59,gg,53,/,Nicole,838,TRUE,
8776,1,1,24,89,gg,53,/,Bella,649,TRUE,
8776,1,1,25,49,gg,53,/,Brittney,736,TRUE,
8776,1,1,26,8,gb,44,Z,Erik,1546,TRUE,
8776,1,1,27,64,gb,44,Z,Ethan,4148,TRUE,
8776,1,1,28,26,gb,53,/,Cameron,1965,FALSE,
8776,1,1,29,58,gb,44,Z,Lucas,799,TRUE,
8776,1,1,30,3,gb,44,Z,Scott,2273,TRUE,
8776,1,1,31,66,gb,44,Z,Lance,1287,TRUE,
8776,1,1,32,65,gb,53,/,Nathan,3750,FALSE,
8776,1,1,33,19,gb,44,Z,Ryan,1054,TRUE,
8776,1,1,34,32,gb,44,Z,Thomas,1128,TRUE,
8776,1,1,35,90,gb,53,/,Arthur,558,FALSE,
8776,1,1,36,16,gb,44,Z,Isaac,1166,TRUE,
8776,1,1,37,54,gb,44,Z,Paul,655,TRUE,
8776,1,1,38,11,gb,44,Z,Marc,1004,TRUE,
8776,1,1,39,48,gb,53,/,Gabe,935,FALSE,
8776,1,1,40,71,gb,53,/,Bobby,1212,FALSE,
8776,1,1,41,35,gb,44,Z,Michael,765,TRUE,
8776,1,1,42,69,gb,44,Z,Carl,1933,TRUE,
8776,1,1,43,75,gb,53,/,Kelvin,716,FALSE,
8776,1,1,44,60,gb,44,Z,Daniel,764,TRUE,
8776,1,1,45,15,gb,44,Z,Josh,1166,TRUE,
8776,1,1,46,2,gb,44,Z,Oliver,4699,TRUE,
8776,1,1,47,30,gb,44,Z,Gary,859,TRUE,
8776,1,1,48,23,gb,44,Z,Harold,2958,TRUE,
8776,1,1,49,57,gb,53,/,Stephen,716,FALSE,
8776,1,1,52,7,bg,53,/,Alexandra,2443,TRUE,
8776,1,1,53,21,bg,53,/,Eve,1451,TRUE,
8776,1,1,54,43,bg,53,/,Erica,1315,TRUE,
8776,1,1,55,14,bg,53,/,Kaylee,1422,TRUE,
8776,1,1,56,77,bg,53,/,Gabriella,903,TRUE,
8776,1,1,57,95,bg,53,/,Claire,737,TRUE,
