Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5521,1,1,1,1,e,57,SPACE,"Inst.bmp",11401,True
5521,1,1,2,62,gg,53,/,"Jill",1156,True
5521,1,1,3,19,gg,53,/,"Nicole",1395,True
5521,1,1,4,7,gg,53,/,"Cindy",1032,True
5521,1,1,5,44,gg,53,/,"Paula",3672,True
5521,1,1,6,4,gg,53,/,"Alexandra",1501,True
5521,1,1,7,75,gg,53,/,"Mary",1850,True
5521,1,1,8,64,gg,53,/,"Claire",1155,True
5521,1,1,9,35,gg,53,/,"Alyssa",1376,True
5521,1,1,10,48,gg,53,/,"Charlotte",1370,True
5521,1,1,11,27,gg,53,/,"Isabella",1235,True
5521,1,1,12,92,gg,53,/,"Hailey",1443,True
5521,1,1,13,32,gg,53,/,"Grace",1652,True
5521,1,1,14,96,gg,53,/,"Mia",1804,True
5521,1,1,15,58,gg,53,/,"Elizabeth",1632,True
5521,1,1,16,60,gg,53,/,"Tamara",1167,True
5521,1,1,17,8,gg,53,/,"Diana",997,True
5521,1,1,18,68,gg,53,/,"Joy",1429,True
5521,1,1,19,90,gg,53,/,"Anna",1512,True
5521,1,1,20,55,gg,53,/,"Rihanna",1306,True
5521,1,1,21,23,gg,53,/,"Emma",1085,True
5521,1,1,22,12,gg,53,/,"Kaitlyn",1574,True
5521,1,1,23,66,gg,53,/,"Eve",1107,True
5521,1,1,24,43,gg,53,/,"Brittney",3030,True
5521,1,1,25,59,gg,53,/,"Brianna",1824,True
5521,1,1,26,72,gb,44,Z,"Cameron",1465,True
5521,1,1,27,93,gb,44,Z,"Ryan",746,True
5521,1,1,28,80,gb,44,Z,"Paul",692,True
5521,1,1,29,25,gb,44,Z,"Josh",634,True
5521,1,1,30,42,gb,44,Z,"Nathan",675,True
5521,1,1,31,22,gb,44,Z,"William",1203,True
5521,1,1,32,88,gb,44,Z,"Victor",1504,True
5521,1,1,33,83,gb,44,Z,"Simon",725,True
5521,1,1,34,85,gb,44,Z,"Gary",1170,True
5521,1,1,35,26,gb,44,Z,"Kelvin",1136,True
5521,1,1,36,57,gb,44,Z,"Edward",1626,True
5521,1,1,37,37,gb,44,Z,"Lance",1459,True
5521,1,1,38,11,gb,44,Z,"Lucas",884,True
5521,1,1,39,82,gb,44,Z,"Scott",847,True
5521,1,1,40,10,gb,44,Z,"Clark",1085,True
5521,1,1,41,84,gb,44,Z,"Charles",984,True
5521,1,1,42,95,gb,44,Z,"Ethan",748,True
5521,1,1,43,49,gb,44,Z,"John",885,True
5521,1,1,44,13,gb,44,Z,"Evan",704,True
5521,1,1,45,39,gb,44,Z,"Isaac",1118,True
5521,1,1,46,50,gb,44,Z,"Liam",1650,True
5521,1,1,47,65,gb,44,Z,"Erik",1421,True
5521,1,1,48,87,gb,44,Z,"Thomas",1291,True
5521,1,1,49,9,gb,44,Z,"Bobby",831,True
5521,1,1,52,74,bg,53,/,"Gabriella",1428,True
5521,1,1,53,14,bg,53,/,"Layla",1573,True
5521,1,1,54,61,bg,53,/,"Penny",1305,True
5521,1,1,55,53,bg,53,/,"Daniella",1242,True
5521,1,1,56,15,bg,53,/,"Michelle",718,True
5521,1,1,57,73,bg,53,/,"Heather",1402,True
5521,1,1,58,5,bg,53,/,"Victoria",1107,True
5521,1,1,59,77,bg,53,/,"Lillian",1736,True
5521,1,1,60,81,bg,53,/,"Rachel",1464,True
5521,1,1,61,17,bg,53,/,"Carmen",1606,True
5521,1,1,62,31,bg,53,/,"Joanne",1339,True
5521,1,1,63,69,bg,53,/,"Erica",1614,True
5521,1,1,64,91,bg,53,/,"Sarah",1828,True
5521,1,1,65,71,bg,53,/,"Lucy",1212,True
5521,1,1,66,86,bg,53,/,"Olivia",1211,True
5521,1,1,67,34,bg,53,/,"Alice",1241,True
5521,1,1,68,51,bg,53,/,"Samantha",1736,True
5521,1,1,69,89,bg,53,/,"Wendy",1341,True
5521,1,1,70,20,bg,53,/,"Christina",1276,True
5521,1,1,71,18,bg,53,/,"Kaylee",1310,True
5521,1,1,72,28,bg,53,/,"Bella",1707,True
5521,1,1,73,40,bg,53,/,"Stephanie",1362,True
5521,1,1,74,54,bg,53,/,"Scarlett",1563,True
5521,1,1,75,2,bg,53,/,"Amelia",2707,True
5521,1,1,76,56,bb,44,Z,"Adam",576,True
5521,1,1,77,47,bb,44,Z,"Andrew",1084,True
5521,1,1,78,46,bb,44,Z,"Samuel",1096,True
5521,1,1,79,79,bb,44,Z,"Timothy",854,True
5521,1,1,80,36,bb,44,Z,"Peter",962,True
5521,1,1,81,97,bb,44,Z,"Mike",1078,True
5521,1,1,82,24,bb,44,Z,"Nicholas",834,True
5521,1,1,83,6,bb,44,Z,"Stephen",729,True
5521,1,1,84,63,bb,44,Z,"Christian",2160,True
5521,1,1,85,45,bb,44,Z,"Gabe",1109,True
5521,1,1,86,41,bb,44,Z,"Kyle",1069,True
5521,1,1,87,29,bb,44,Z,"Alexander",871,True
5521,1,1,88,30,bb,44,Z,"Anthony",876,True
5521,1,1,89,76,bb,44,Z,"Arthur",817,True
5521,1,1,90,16,bb,44,Z,"Hector",690,True
5521,1,1,91,94,bb,44,Z,"Oliver",845,True
5521,1,1,92,21,bb,44,Z,"Brett",1753,True
5521,1,1,93,78,bb,44,Z,"Richard",979,True
5521,1,1,94,38,bb,44,Z,"Marc",1106,True
5521,1,1,95,3,bb,44,Z,"Brian",1072,True
5521,1,1,96,52,bb,44,Z,"David",835,True
5521,1,1,97,70,bb,44,Z,"Carl",822,True
5521,1,1,98,33,bb,44,Z,"Harold",651,True
5521,1,1,99,67,bb,44,Z,"Jack",679,True
5521,1,1,100,98,e,2,2,"rec.bmp",4472,False
5521,1,1,101,99,e,2,2,"sex.bmp",1362,False
5521,1,1,103,100,e,-1,east asian,"Please indicate your race:",3125,True
5521,1,1,103,101,e,-1,27,"Please indicate your age:",2715,True
5521,1,1,104,102,e,-1,0,"Please indicate how much exposure you have to children in a typical week in hours:",4361,True
5521,1,1,105,103,e,57,SPACE,"debrief.bmp",120730,True
