Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5517,1,1,1,1,e,57,SPACE,"Inst.bmp",8864,True
5517,1,1,2,96,gg,53,/,"Stephanie",547,True
5517,1,1,3,21,gg,44,Z,"Mia",642,False
5517,1,1,4,83,gg,53,/,"Layla",637,True
5517,1,1,5,8,gg,53,/,"Alyssa",535,True
5517,1,1,6,75,gg,53,/,"Joanne",378,True
5517,1,1,7,84,gg,44,Z,"Alice",710,False
5517,1,1,8,38,gg,53,/,"Christina",528,True
5517,1,1,9,43,gg,53,/,"Gabriella",452,True
5517,1,1,10,25,gg,53,/,"Emma",395,True
5517,1,1,11,74,gg,53,/,"Claire",685,True
5517,1,1,12,13,gg,53,/,"Cindy",6882,True
5517,1,1,13,31,gg,53,/,"Rachel",1273,True
5517,1,1,14,29,gg,53,/,"Penny",581,True
5517,1,1,15,82,gg,44,Z,"Erica",231,False
5517,1,1,16,26,gg,53,/,"Daniella",653,True
5517,1,1,17,60,gg,53,/,"Nicole",412,True
5517,1,1,18,62,gg,44,Z,"Bella",351,False
5517,1,1,19,19,gg,44,Z,"Sarah",417,False
5517,1,1,20,53,gg,53,/,"Tiffany",517,True
5517,1,1,21,88,gg,53,/,"Olivia",853,True
5517,1,1,22,14,gg,53,/,"Anna",880,True
5517,1,1,23,7,gg,53,/,"Elizabeth",832,True
5517,1,1,24,72,gg,44,Z,"Carmen",376,False
5517,1,1,25,33,gg,44,Z,"Natalie",688,False
5517,1,1,26,67,gb,44,Z,"Lucas",605,True
5517,1,1,27,28,gb,53,/,"Michael",981,False
5517,1,1,28,16,gb,44,Z,"David",500,True
5517,1,1,29,37,gb,44,Z,"Harold",659,True
5517,1,1,30,77,gb,53,/,"Marc",817,False
5517,1,1,31,2,gb,44,Z,"Simon",1494,True
5517,1,1,32,80,gb,53,/,"Victor",830,False
5517,1,1,33,3,gb,44,Z,"Paul",2722,True
5517,1,1,34,22,gb,44,Z,"Isaac",344,True
5517,1,1,35,58,gb,44,Z,"Thomas",1112,True
5517,1,1,36,11,gb,44,Z,"Nathan",782,True
5517,1,1,37,30,gb,44,Z,"Edward",567,True
5517,1,1,38,70,gb,53,/,"Josh",432,False
5517,1,1,39,17,gb,44,Z,"William",481,True
5517,1,1,40,73,gb,53,/,"Stephen",538,False
5517,1,1,41,55,gb,44,Z,"Alexander",908,True
5517,1,1,42,87,gb,44,Z,"Mike",222,True
5517,1,1,43,45,gb,44,Z,"Kyle",810,True
5517,1,1,44,49,gb,44,Z,"Adam",558,True
5517,1,1,45,27,gb,53,/,"Erik",403,False
5517,1,1,46,63,gb,44,Z,"Gary",673,True
5517,1,1,47,12,gb,44,Z,"Evan",912,True
5517,1,1,48,85,gb,44,Z,"Brian",775,True
5517,1,1,49,57,gb,44,Z,"Gabe",572,True
5517,1,1,52,41,bg,44,Z,"Kaylee",1064,False
5517,1,1,53,76,bg,44,Z,"Kaitlyn",1699,False
5517,1,1,54,97,bg,53,/,"Alexandra",717,True
5517,1,1,55,52,bg,44,Z,"Brianna",512,False
5517,1,1,56,35,bg,44,Z,"Lucy",575,False
5517,1,1,57,5,bg,53,/,"Mary",1083,True
5517,1,1,58,54,bg,53,/,"Heather",2518,True
5517,1,1,59,66,bg,53,/,"Victoria",370,True
5517,1,1,60,6,bg,53,/,"Brittney",2236,True
5517,1,1,61,92,bg,53,/,"Diana",1226,True
5517,1,1,62,71,bg,53,/,"Eve",1001,True
5517,1,1,63,46,bg,44,Z,"Charlotte",502,False
5517,1,1,64,32,bg,44,Z,"Wendy",750,False
5517,1,1,65,91,bg,53,/,"Rihanna",650,True
5517,1,1,66,89,bg,44,Z,"Grace",436,False
5517,1,1,67,34,bg,44,Z,"Amelia",384,False
5517,1,1,68,9,bg,44,Z,"Lillian",515,False
5517,1,1,69,4,bg,53,/,"Hailey",869,True
5517,1,1,70,36,bg,44,Z,"Samantha",367,False
5517,1,1,71,42,bg,53,/,"Tamara",453,True
5517,1,1,72,44,bg,44,Z,"Paula",972,False
5517,1,1,73,81,bg,53,/,"Jill",364,True
5517,1,1,74,65,bg,44,Z,"Scarlett",270,False
5517,1,1,75,59,bg,44,Z,"Joy",547,False
5517,1,1,76,24,bb,44,Z,"Anthony",469,True
5517,1,1,77,93,bb,53,/,"Scott",730,False
5517,1,1,78,90,bb,44,Z,"Liam",605,True
5517,1,1,79,56,bb,44,Z,"Ethan",664,True
5517,1,1,80,94,bb,44,Z,"Nicholas",389,True
5517,1,1,81,79,bb,44,Z,"Oliver",821,True
5517,1,1,82,86,bb,44,Z,"Richard",512,True
5517,1,1,83,64,bb,44,Z,"Christian",486,True
5517,1,1,84,61,bb,53,/,"Clark",383,False
5517,1,1,85,23,bb,44,Z,"Peter",689,True
5517,1,1,86,15,bb,44,Z,"Cameron",2463,True
5517,1,1,87,50,bb,44,Z,"John",367,True
5517,1,1,88,51,bb,44,Z,"Brett",274,True
5517,1,1,89,69,bb,44,Z,"Ryan",309,True
5517,1,1,90,18,bb,44,Z,"Bobby",509,True
5517,1,1,91,78,bb,44,Z,"Charles",672,True
5517,1,1,92,10,bb,44,Z,"Hector",838,True
5517,1,1,93,39,bb,44,Z,"Samuel",788,True
5517,1,1,94,47,bb,44,Z,"Carl",529,True
5517,1,1,95,20,bb,44,Z,"Timothy",465,True
5517,1,1,96,40,bb,44,Z,"Jack",325,True
5517,1,1,97,68,bb,44,Z,"Lance",412,True
5517,1,1,98,48,bb,44,Z,"Kelvin",364,True
5517,1,1,99,95,bb,44,Z,"Arthur",1901,True
5517,1,1,100,98,e,1,1,"rec.bmp",5647,True
5517,1,1,101,99,e,2,2,"sex.bmp",2226,False
5517,1,1,103,100,e,-1,brown,"Please indicate your race:",3233,True
5517,1,1,103,101,e,-1,18,"Please indicate your age:",3027,True
5517,1,1,104,102,e,-1,16,"Please indicate how much exposure you have to children in a typical week in hours:",13005,True
5517,1,1,105,103,e,57,SPACE,"debrief.bmp",40053,True
