Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5663,1,1,1,1,e,57,SPACE,"Inst.bmp",20042,True
5663,1,1,2,65,gg,53,/,"Joanne",846,True
5663,1,1,3,3,gg,53,/,"Mia",1574,True
5663,1,1,4,79,gg,53,/,"Natalie",792,True
5663,1,1,5,96,gg,53,/,"Jill",1076,True
5663,1,1,6,75,gg,53,/,"Charlotte",853,True
5663,1,1,7,54,gg,53,/,"Lucy",1094,True
5663,1,1,8,45,gg,53,/,"Claire",1233,True
5663,1,1,9,18,gg,53,/,"Tamara",616,True
5663,1,1,10,66,gg,53,/,"Gabriella",620,True
5663,1,1,11,55,gg,53,/,"Grace",835,True
5663,1,1,12,73,gg,53,/,"Heather",932,True
5663,1,1,13,71,gg,53,/,"Olivia",634,True
5663,1,1,14,21,gg,53,/,"Nicole",618,True
5663,1,1,15,56,gg,53,/,"Samantha",564,True
5663,1,1,16,67,gg,53,/,"Hailey",580,True
5663,1,1,17,94,gg,53,/,"Mary",851,True
5663,1,1,18,6,gg,53,/,"Joy",1806,True
5663,1,1,19,82,gg,53,/,"Amelia",663,True
5663,1,1,20,70,gg,53,/,"Anna",585,True
5663,1,1,21,47,gg,53,/,"Brianna",1002,True
5663,1,1,22,52,gg,53,/,"Eve",816,True
5663,1,1,23,26,gg,53,/,"Cindy",624,True
5663,1,1,24,61,gg,53,/,"Lillian",1086,True
5663,1,1,25,7,gg,53,/,"Sarah",2038,True
5663,1,1,26,16,gb,44,Z,"William",783,True
5663,1,1,27,29,gb,44,Z,"Adam",725,True
5663,1,1,28,11,gb,44,Z,"Kelvin",1601,True
5663,1,1,29,46,gb,44,Z,"Nicholas",577,True
5663,1,1,30,39,gb,44,Z,"Mike",511,True
5663,1,1,31,92,gb,44,Z,"Carl",575,True
5663,1,1,32,80,gb,44,Z,"John",812,True
5663,1,1,33,60,gb,44,Z,"Lance",857,True
5663,1,1,34,62,gb,44,Z,"Gary",669,True
5663,1,1,35,53,gb,44,Z,"Anthony",672,True
5663,1,1,36,89,gb,44,Z,"Andrew",666,True
5663,1,1,37,12,gb,44,Z,"Simon",1138,True
5663,1,1,38,59,gb,44,Z,"Lucas",7543,True
5663,1,1,39,91,gb,44,Z,"Cameron",716,True
5663,1,1,40,38,gb,44,Z,"Victor",599,True
5663,1,1,41,90,gb,44,Z,"Liam",1553,True
5663,1,1,42,48,gb,44,Z,"Gabe",908,True
5663,1,1,43,28,gb,44,Z,"Kyle",880,True
5663,1,1,44,88,gb,44,Z,"Erik",934,True
5663,1,1,45,68,gb,44,Z,"Evan",1360,True
5663,1,1,46,49,gb,44,Z,"Peter",575,True
5663,1,1,47,27,gb,44,Z,"Ethan",726,True
5663,1,1,48,97,gb,44,Z,"Richard",852,True
5663,1,1,49,35,gb,44,Z,"Stephen",817,True
5663,1,1,52,50,bg,53,/,"Paula",784,True
5663,1,1,53,9,bg,53,/,"Brittney",648,True
5663,1,1,54,2,bg,53,/,"Alice",3359,True
5663,1,1,55,4,bg,53,/,"Alyssa",1821,True
5663,1,1,56,37,bg,53,/,"Diana",1299,True
5663,1,1,57,23,bg,53,/,"Kaitlyn",837,True
5663,1,1,58,24,bg,44,Z,"Alexandra",620,False
5663,1,1,59,58,bg,53,/,"Bella",1406,True
5663,1,1,60,30,bg,53,/,"Isabella",713,True
5663,1,1,61,8,bg,53,/,"Michelle",973,True
5663,1,1,62,72,bg,53,/,"Tiffany",562,True
5663,1,1,63,69,bg,53,/,"Carmen",761,True
5663,1,1,64,57,bg,53,/,"Rihanna",2963,True
5663,1,1,65,93,bg,53,/,"Daniella",769,True
5663,1,1,66,5,bg,53,/,"Wendy",1540,True
5663,1,1,67,81,bg,53,/,"Stephanie",683,True
5663,1,1,68,51,bg,53,/,"Layla",649,True
5663,1,1,69,14,bg,53,/,"Penny",921,True
5663,1,1,70,76,bg,44,Z,"Emma",755,False
5663,1,1,71,40,bg,53,/,"Christina",1499,True
5663,1,1,72,17,bg,53,/,"Kaylee",833,True
5663,1,1,73,34,bg,53,/,"Erica",1009,True
5663,1,1,74,13,bg,53,/,"Elizabeth",1157,True
5663,1,1,75,25,bg,53,/,"Victoria",1356,True
5663,1,1,76,10,bb,44,Z,"Brett",918,True
5663,1,1,77,78,bb,44,Z,"Oliver",650,True
5663,1,1,78,64,bb,44,Z,"Hector",598,True
5663,1,1,79,86,bb,44,Z,"Timothy",889,True
5663,1,1,80,95,bb,44,Z,"Marc",729,True
5663,1,1,81,44,bb,44,Z,"David",2792,True
5663,1,1,82,22,bb,44,Z,"Ryan",553,True
5663,1,1,83,83,bb,44,Z,"Thomas",589,True
5663,1,1,84,85,bb,44,Z,"Michael",875,True
5663,1,1,85,63,bb,44,Z,"Arthur",523,True
5663,1,1,86,20,bb,44,Z,"Isaac",686,True
5663,1,1,87,84,bb,44,Z,"Jack",877,True
5663,1,1,88,33,bb,44,Z,"Charles",1059,True
5663,1,1,89,31,bb,44,Z,"Scott",620,True
5663,1,1,90,32,bb,44,Z,"Daniel",647,True
5663,1,1,91,41,bb,44,Z,"Brian",1079,True
5663,1,1,92,77,bb,44,Z,"Paul",876,True
5663,1,1,93,87,bb,44,Z,"Harold",3165,True
5663,1,1,94,15,bb,44,Z,"Bobby",1475,True
5663,1,1,95,42,bb,44,Z,"Alexander",825,True
5663,1,1,96,19,bb,44,Z,"Nathan",720,True
5663,1,1,97,36,bb,44,Z,"Christian",777,True
5663,1,1,98,43,bb,44,Z,"Josh",920,True
5663,1,1,99,74,bb,44,Z,"Clark",696,True
5663,1,1,100,98,e,2,2,"rec.bmp",5557,False
5663,1,1,101,99,e,2,2,"sex.bmp",2323,False
5663,1,1,103,100,e,-1,Caucasian,"Please indicate your race:",5432,True
5663,1,1,103,101,e,-1,25,"Please indicate your age:",2907,True
5663,1,1,104,102,e,-1,0,"Please indicate how much exposure you have to children in a typical week in hours:",8024,True
5663,1,1,105,103,e,57,SPACE,"debrief.bmp",48159,True
