Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5648,1,1,1,1,e,57,SPACE,"Inst.bmp",25768,True
5648,1,1,2,42,gg,53,/,"Alyssa",614,True
5648,1,1,3,57,gg,53,/,"Eve",1087,True
5648,1,1,4,97,gg,53,/,"Victoria",624,True
5648,1,1,5,78,gg,53,/,"Isabella",879,True
5648,1,1,6,5,gg,53,/,"Natalie",793,True
5648,1,1,7,94,gg,53,/,"Brittney",527,True
5648,1,1,8,40,gg,53,/,"Grace",839,True
5648,1,1,9,84,gg,53,/,"Hailey",605,True
5648,1,1,10,20,gg,53,/,"Layla",1091,True
5648,1,1,11,12,gg,53,/,"Kaitlyn",8943,True
5648,1,1,12,65,gg,53,/,"Cindy",1385,True
5648,1,1,13,91,gg,53,/,"Diana",964,True
5648,1,1,14,47,gg,53,/,"Alice",496,True
5648,1,1,15,58,gg,53,/,"Mary",854,True
5648,1,1,16,90,gg,53,/,"Paula",2346,True
5648,1,1,17,38,gg,53,/,"Alexandra",729,True
5648,1,1,18,80,gg,53,/,"Carmen",1082,True
5648,1,1,19,9,gg,53,/,"Heather",846,True
5648,1,1,20,88,gg,53,/,"Scarlett",641,True
5648,1,1,21,14,gg,53,/,"Claire",1014,True
5648,1,1,22,72,gg,53,/,"Joanne",739,True
5648,1,1,23,61,gg,53,/,"Brianna",726,True
5648,1,1,24,95,gg,53,/,"Penny",387,True
5648,1,1,25,56,gg,53,/,"Lucy",508,True
5648,1,1,26,96,gb,44,Z,"Nicholas",715,True
5648,1,1,27,89,gb,44,Z,"Brett",935,True
5648,1,1,28,33,gb,44,Z,"Scott",837,True
5648,1,1,29,79,gb,44,Z,"Brian",718,True
5648,1,1,30,45,gb,44,Z,"Gabe",906,True
5648,1,1,31,8,gb,44,Z,"Gary",1885,True
5648,1,1,32,30,gb,53,/,"Josh",3962,False
5648,1,1,33,29,gb,44,Z,"Victor",2642,True
5648,1,1,34,34,gb,44,Z,"Lucas",651,True
5648,1,1,35,19,gb,44,Z,"Charles",661,True
5648,1,1,36,71,gb,44,Z,"Arthur",1011,True
5648,1,1,37,51,gb,44,Z,"Mike",661,True
5648,1,1,38,66,gb,44,Z,"Clark",579,True
5648,1,1,39,73,gb,44,Z,"Harold",598,True
5648,1,1,40,31,gb,44,Z,"David",954,True
5648,1,1,41,49,gb,53,/,"Hector",570,False
5648,1,1,42,37,gb,44,Z,"Simon",834,True
5648,1,1,43,13,gb,44,Z,"Carl",1697,True
5648,1,1,44,76,gb,44,Z,"Erik",1030,True
5648,1,1,45,39,gb,44,Z,"Andrew",773,True
5648,1,1,46,25,gb,44,Z,"Oliver",1228,True
5648,1,1,47,44,gb,44,Z,"Kyle",1092,True
5648,1,1,48,68,gb,44,Z,"Thomas",568,True
5648,1,1,49,85,gb,53,/,"Liam",638,False
5648,1,1,52,67,bg,53,/,"Rachel",700,True
5648,1,1,53,62,bg,53,/,"Samantha",1067,True
5648,1,1,54,11,bg,53,/,"Tiffany",1264,True
5648,1,1,55,7,bg,53,/,"Emma",812,True
5648,1,1,56,35,bg,53,/,"Olivia",1307,True
5648,1,1,57,18,bg,53,/,"Michelle",706,True
5648,1,1,58,4,bg,53,/,"Elizabeth",911,True
5648,1,1,59,93,bg,53,/,"Wendy",2750,True
5648,1,1,60,69,bg,53,/,"Kaylee",675,True
5648,1,1,61,43,bg,53,/,"Sarah",1837,True
5648,1,1,62,53,bg,44,Z,"Charlotte",470,False
5648,1,1,63,63,bg,53,/,"Rihanna",2624,True
5648,1,1,64,50,bg,53,/,"Bella",940,True
5648,1,1,65,55,bg,53,/,"Daniella",595,True
5648,1,1,66,10,bg,53,/,"Tamara",766,True
5648,1,1,67,24,bg,53,/,"Stephanie",971,True
