Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5637,1,1,1,1,e,57,SPACE,"Inst.bmp",43412,True
5637,1,1,2,82,gg,53,/,"Amelia",582,True
5637,1,1,3,88,gg,53,/,"Paula",614,True
5637,1,1,4,9,gg,53,/,"Tiffany",686,True
5637,1,1,5,39,gg,53,/,"Lucy",591,True
5637,1,1,6,34,gg,53,/,"Natalie",684,True
5637,1,1,7,32,gg,53,/,"Bella",546,True
5637,1,1,8,80,gg,53,/,"Alexandra",1106,True
5637,1,1,9,44,gg,53,/,"Brianna",544,True
5637,1,1,10,66,gg,53,/,"Kaitlyn",621,True
5637,1,1,11,43,gg,53,/,"Michelle",516,True
5637,1,1,12,97,gg,53,/,"Olivia",640,True
5637,1,1,13,50,gg,53,/,"Penny",577,True
5637,1,1,14,83,gg,53,/,"Nicole",617,True
5637,1,1,15,31,gg,53,/,"Joanne",569,True
5637,1,1,16,7,gg,44,Z,"Tamara",399,False
5637,1,1,17,60,gg,53,/,"Kaylee",595,True
5637,1,1,18,18,gg,53,/,"Victoria",569,True
5637,1,1,19,24,gg,53,/,"Hailey",564,True
5637,1,1,20,29,gg,53,/,"Heather",592,True
5637,1,1,21,30,gg,53,/,"Rihanna",600,True
5637,1,1,22,87,gg,53,/,"Gabriella",757,True
5637,1,1,23,58,gg,53,/,"Grace",1061,True
5637,1,1,24,41,gg,53,/,"Erica",560,True
5637,1,1,25,78,gg,53,/,"Jill",660,True
5637,1,1,26,12,gb,44,Z,"Mike",826,True
5637,1,1,27,53,gb,53,/,"Lucas",480,False
5637,1,1,28,10,gb,44,Z,"Arthur",580,True
5637,1,1,29,46,gb,44,Z,"Oliver",671,True
5637,1,1,30,74,gb,44,Z,"William",654,True
5637,1,1,31,13,gb,44,Z,"Liam",667,True
5637,1,1,32,17,gb,44,Z,"Kyle",399,True
5637,1,1,33,23,gb,44,Z,"Ethan",635,True
5637,1,1,34,14,gb,44,Z,"Andrew",552,True
5637,1,1,35,40,gb,44,Z,"Jack",566,True
5637,1,1,36,49,gb,44,Z,"John",667,True
5637,1,1,37,5,gb,44,Z,"Michael",599,True
5637,1,1,38,85,gb,44,Z,"Nathan",1022,True
5637,1,1,39,28,gb,44,Z,"Edward",631,True
5637,1,1,40,95,gb,44,Z,"Gary",825,True
5637,1,1,41,96,gb,44,Z,"Marc",851,True
5637,1,1,42,59,gb,44,Z,"Scott",634,True
5637,1,1,43,79,gb,53,/,"Carl",462,False
5637,1,1,44,68,gb,44,Z,"Daniel",549,True
5637,1,1,45,62,gb,44,Z,"Bobby",736,True
5637,1,1,46,19,gb,44,Z,"Hector",666,True
5637,1,1,47,54,gb,53,/,"Nicholas",558,False
5637,1,1,48,81,gb,44,Z,"Victor",630,True
5637,1,1,49,33,gb,44,Z,"Simon",623,True
5637,1,1,52,77,bg,53,/,"Diana",548,True
5637,1,1,53,35,bg,53,/,"Samantha",515,True
5637,1,1,54,11,bg,53,/,"Layla",678,True
5637,1,1,55,21,bg,53,/,"Lillian",862,True
5637,1,1,56,26,bg,53,/,"Claire",631,True
