Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8785,1,1,1,1,e,57,SPACE,Inst,8199,TRUE,
8785,1,1,2,32,gg,44,Z,Kaylee,367,FALSE,
8785,1,1,3,80,gg,53,/,Lillian,883,TRUE,
8785,1,1,4,48,gg,44,Z,Christina,462,FALSE,
8785,1,1,5,58,gg,53,/,Emma,566,TRUE,
8785,1,1,6,33,gg,53,/,Samantha,536,TRUE,
8785,1,1,7,63,gg,53,/,Alexandra,600,TRUE,
8785,1,1,8,3,gg,53,/,Nicole,757,TRUE,
8785,1,1,9,18,gg,53,/,Eve,655,TRUE,
8785,1,1,10,47,gg,44,Z,Tamara,482,FALSE,
8785,1,1,11,67,gg,53,/,Charlotte,533,TRUE,
8785,1,1,12,30,gg,44,Z,Heather,349,FALSE,
8785,1,1,13,57,gg,44,Z,Paula,1057,FALSE,
8785,1,1,14,24,gg,53,/,Sarah,610,TRUE,
8785,1,1,15,76,gg,44,Z,Jill,467,FALSE,
8785,1,1,16,71,gg,53,/,Joy,951,TRUE,
8785,1,1,17,22,gg,53,/,Brianna,1269,TRUE,
8785,1,1,18,7,gg,53,/,Amelia,789,TRUE,
8785,1,1,19,44,gg,53,/,Stephanie,583,TRUE,
8785,1,1,20,15,gg,53,/,Brittney,542,TRUE,
8785,1,1,21,77,gg,53,/,Rachel,663,TRUE,
8785,1,1,22,96,gg,44,Z,Rihanna,764,FALSE,
8785,1,1,23,37,gg,53,/,Hailey,413,TRUE,
8785,1,1,24,27,gg,44,Z,Diana,793,FALSE,
8785,1,1,25,41,gg,44,Z,Layla,550,FALSE,
8785,1,1,26,69,gb,44,Z,Evan,627,TRUE,
8785,1,1,27,66,gb,44,Z,Mike,664,TRUE,
8785,1,1,28,90,gb,44,Z,Oliver,854,TRUE,
8785,1,1,29,2,gb,44,Z,Lance,1080,TRUE,
8785,1,1,30,89,gb,44,Z,Michael,640,TRUE,
8785,1,1,31,10,gb,44,Z,Kyle,630,TRUE,
8785,1,1,32,82,gb,53,/,Bobby,459,FALSE,
8785,1,1,33,68,gb,44,Z,Simon,453,TRUE,
8785,1,1,34,28,gb,53,/,Paul,713,FALSE,
8785,1,1,35,53,gb,44,Z,Andrew,650,TRUE,
8785,1,1,36,75,gb,53,/,Isaac,561,FALSE,
8785,1,1,37,17,gb,53,/,David,1234,FALSE,
8785,1,1,38,62,gb,44,Z,Charles,460,TRUE,
8785,1,1,39,61,gb,44,Z,Jack,754,TRUE,
8785,1,1,40,42,gb,44,Z,Ryan,334,TRUE,
8785,1,1,41,50,gb,44,Z,Kelvin,590,TRUE,
8785,1,1,42,26,gb,53,/,Brian,693,FALSE,
8785,1,1,43,92,gb,53,/,Liam,533,FALSE,
8785,1,1,44,21,gb,44,Z,Erik,748,TRUE,
8785,1,1,45,54,gb,53,/,Scott,582,FALSE,
8785,1,1,46,39,gb,44,Z,Hector,503,TRUE,
8785,1,1,47,87,gb,53,/,Brett,448,FALSE,
8785,1,1,48,52,gb,44,Z,Alexander,386,TRUE,
8785,1,1,49,49,gb,53,/,Christian,699,FALSE,
8785,1,1,52,43,bg,44,Z,Erica,424,FALSE,
8785,1,1,53,8,bg,44,Z,Claire,629,FALSE,
8785,1,1,54,78,bg,44,Z,Isabella,403,FALSE,
8785,1,1,55,88,bg,44,Z,Bella,509,FALSE,
8785,1,1,56,97,bg,44,Z,Elizabeth,485,FALSE,
8785,1,1,57,91,bg,53,/,Gabriella,723,TRUE,
8785,1,1,58,70,bg,53,/,Mary,458,TRUE,
8785,1,1,59,46,bg,44,Z,Mia,411,FALSE,
8785,1,1,60,35,bg,44,Z,Penny,440,FALSE,
8785,1,1,61,6,bg,44,Z,Scarlett,1181,FALSE,
8785,1,1,62,23,bg,44,Z,Michelle,969,FALSE,
8785,1,1,63,5,bg,44,Z,Lucy,1040,FALSE,
8785,1,1,64,13,bg,44,Z,Tiffany,463,FALSE,
8785,1,1,65,12,bg,53,/,Wendy,741,TRUE,
8785,1,1,66,16,bg,53,/,Natalie,720,TRUE,
8785,1,1,67,64,bg,53,/,Cindy,736,TRUE,
8785,1,1,68,94,bg,53,/,Olivia,494,TRUE,
8785,1,1,69,31,bg,44,Z,Grace,375,FALSE,
8785,1,1,70,11,bg,53,/,Victoria,555,TRUE,
8785,1,1,71,93,bg,44,Z,Alice,407,FALSE,
8785,1,1,72,73,bg,44,Z,Daniella,466,FALSE,
8785,1,1,73,9,bg,44,Z,Anna,1307,FALSE,
8785,1,1,74,65,bg,53,/,Kaitlyn,834,TRUE,
8785,1,1,75,19,bg,44,Z,Carmen,517,FALSE,
8785,1,1,76,51,bb,44,Z,Clark,495,TRUE,
8785,1,1,77,38,bb,44,Z,Timothy,316,TRUE,
8785,1,1,78,81,bb,44,Z,Cameron,470,TRUE,
8785,1,1,79,4,bb,44,Z,Josh,559,TRUE,
8785,1,1,80,72,bb,44,Z,Daniel,761,TRUE,
