Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8779,1,1,1,1,e,57,SPACE,Inst,23422,TRUE,
8779,1,1,2,63,gg,53,/,Bella,628,TRUE,
8779,1,1,3,54,gg,53,/,Layla,683,TRUE,
8779,1,1,4,32,gg,53,/,Wendy,694,TRUE,
8779,1,1,5,37,gg,53,/,Alyssa,605,TRUE,
8779,1,1,6,7,gg,53,/,Samantha,803,TRUE,
8779,1,1,7,22,gg,53,/,Gabriella,579,TRUE,
8779,1,1,8,62,gg,53,/,Claire,596,TRUE,
8779,1,1,9,20,gg,53,/,Mia,709,TRUE,
8779,1,1,10,76,gg,53,/,Daniella,607,TRUE,
8779,1,1,11,83,gg,53,/,Olivia,802,TRUE,
8779,1,1,12,75,gg,53,/,Grace,924,TRUE,
8779,1,1,13,36,gg,53,/,Christina,556,TRUE,
8779,1,1,14,92,gg,53,/,Erica,1282,TRUE,
8779,1,1,15,84,gg,53,/,Michelle,712,TRUE,
8779,1,1,16,13,gg,53,/,Tiffany,714,TRUE,
8779,1,1,17,45,gg,53,/,Natalie,691,TRUE,
8779,1,1,18,52,gg,53,/,Emma,595,TRUE,
8779,1,1,19,4,gg,53,/,Lillian,862,TRUE,
8779,1,1,20,70,gg,53,/,Heather,605,TRUE,
8779,1,1,21,34,gg,53,/,Amelia,553,TRUE,
8779,1,1,22,87,gg,53,/,Lucy,693,TRUE,
8779,1,1,23,26,gg,53,/,Jill,942,TRUE,
8779,1,1,24,2,gg,53,/,Sarah,1972,TRUE,
8779,1,1,25,27,gg,53,/,Charlotte,943,TRUE,
8779,1,1,26,85,gb,44,Z,Paul,731,TRUE,
8779,1,1,27,30,gb,44,Z,Richard,680,TRUE,
8779,1,1,28,67,gb,44,Z,Brett,637,TRUE,
8779,1,1,29,53,gb,44,Z,Kelvin,755,TRUE,
8779,1,1,30,91,gb,44,Z,Cameron,686,TRUE,
8779,1,1,31,6,gb,44,Z,Simon,1096,TRUE,
8779,1,1,32,51,gb,44,Z,Samuel,638,TRUE,
8779,1,1,33,61,gb,44,Z,Hector,647,TRUE,
8779,1,1,34,77,gb,44,Z,Ryan,742,TRUE,
8779,1,1,35,49,gb,44,Z,Victor,587,TRUE,
8779,1,1,36,18,gb,44,Z,Ethan,633,TRUE,
8779,1,1,37,40,gb,44,Z,Daniel,725,TRUE,
8779,1,1,38,57,gb,44,Z,Alexander,569,TRUE,
8779,1,1,39,48,gb,44,Z,Erik,661,TRUE,
8779,1,1,40,58,gb,44,Z,Gary,553,TRUE,
8779,1,1,41,47,gb,44,Z,Michael,707,TRUE,
8779,1,1,42,90,gb,44,Z,David,632,TRUE,
8779,1,1,43,80,gb,53,/,Carl,1738,FALSE,
8779,1,1,44,64,gb,44,Z,Bobby,534,TRUE,
8779,1,1,45,68,gb,44,Z,Arthur,539,TRUE,
