Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5586,1,1,1,1,e,57,SPACE,"Inst.bmp",6635,True
5586,1,1,2,66,gg,53,/,"Michelle",782,True
5586,1,1,3,42,gg,53,/,"Isabella",741,True
5586,1,1,4,56,gg,53,/,"Emma",899,True
5586,1,1,5,77,gg,53,/,"Paula",1299,True
5586,1,1,6,49,gg,44,Z,"Grace",1186,False
5586,1,1,7,10,gg,53,/,"Mia",1121,True
5586,1,1,8,39,gg,44,Z,"Rachel",791,False
5586,1,1,9,92,gg,53,/,"Samantha",555,True
5586,1,1,10,70,gg,53,/,"Victoria",748,True
5586,1,1,11,6,gg,44,Z,"Bella",825,False
5586,1,1,12,36,gg,53,/,"Gabriella",1204,True
5586,1,1,13,25,gg,53,/,"Kaitlyn",1128,True
5586,1,1,14,89,gg,44,Z,"Claire",976,False
5586,1,1,15,26,gg,53,/,"Rihanna",2123,True
5586,1,1,16,88,gg,44,Z,"Jill",915,False
5586,1,1,17,35,gg,53,/,"Lillian",872,True
5586,1,1,18,11,gg,53,/,"Kaylee",2327,True
5586,1,1,19,85,gg,53,/,"Stephanie",961,True
5586,1,1,20,4,gg,53,/,"Elizabeth",737,True
5586,1,1,21,50,gg,44,Z,"Charlotte",884,False
5586,1,1,22,74,gg,53,/,"Olivia",679,True
5586,1,1,23,60,gg,53,/,"Daniella",1046,True
5586,1,1,24,72,gg,53,/,"Scarlett",1037,True
5586,1,1,25,22,gg,53,/,"Brianna",609,True
5586,1,1,26,68,gb,44,Z,"Peter",736,True
5586,1,1,27,12,gb,53,/,"Victor",1561,False
5586,1,1,28,48,gb,53,/,"Cameron",860,False
5586,1,1,29,34,gb,53,/,"Clark",1125,False
5586,1,1,30,2,gb,44,Z,"Paul",1695,True
5586,1,1,31,59,gb,44,Z,"Hector",1181,True
5586,1,1,32,76,gb,44,Z,"Erik",736,True
5586,1,1,33,31,gb,44,Z,"Mike",1112,True
5586,1,1,34,83,gb,44,Z,"Brian",650,True
5586,1,1,35,71,gb,44,Z,"Ryan",630,True
5586,1,1,36,73,gb,44,Z,"Brett",957,True
5586,1,1,37,45,gb,44,Z,"Lucas",922,True
5586,1,1,38,27,gb,44,Z,"Gary",1470,True
5586,1,1,39,78,gb,53,/,"Oliver",784,False
5586,1,1,40,91,gb,44,Z,"Charles",627,True
5586,1,1,41,23,gb,53,/,"Nicholas",560,False
5586,1,1,42,5,gb,53,/,"Adam",450,False
5586,1,1,43,7,gb,53,/,"Lance",1050,False
5586,1,1,44,24,gb,44,Z,"Edward",857,True
5586,1,1,45,84,gb,44,Z,"Simon",812,True
5586,1,1,46,63,gb,44,Z,"Timothy",1096,True
5586,1,1,47,69,gb,44,Z,"Ethan",637,True
5586,1,1,48,43,gb,44,Z,"Michael",581,True
5586,1,1,49,51,gb,44,Z,"David",688,True
5586,1,1,52,53,bg,53,/,"Layla",700,True
5586,1,1,53,46,bg,53,/,"Hailey",965,True
5586,1,1,54,94,bg,53,/,"Sarah",833,True
5586,1,1,55,29,bg,44,Z,"Carmen",1389,False
5586,1,1,56,30,bg,44,Z,"Wendy",734,False
5586,1,1,57,44,bg,44,Z,"Lucy",583,False
5586,1,1,58,28,bg,44,Z,"Erica",1798,False
5586,1,1,59,15,bg,53,/,"Amelia",1586,True
5586,1,1,60,90,bg,53,/,"Penny",947,True
5586,1,1,61,93,bg,53,/,"Cindy",893,True
5586,1,1,62,13,bg,53,/,"Nicole",996,True
5586,1,1,63,9,bg,53,/,"Diana",1077,True
5586,1,1,64,38,bg,53,/,"Alice",949,True
5586,1,1,65,97,bg,53,/,"Alyssa",884,True
5586,1,1,66,95,bg,53,/,"Anna",729,True
5586,1,1,67,16,bg,53,/,"Tiffany",964,True
5586,1,1,68,61,bg,53,/,"Eve",1030,True
5586,1,1,69,87,bg,53,/,"Alexandra",919,True
5586,1,1,70,67,bg,53,/,"Joanne",787,True
5586,1,1,71,54,bg,53,/,"Heather",944,True
5586,1,1,72,82,bg,53,/,"Tamara",1242,True
5586,1,1,73,81,bg,44,Z,"Joy",738,False
5586,1,1,74,3,bg,44,Z,"Christina",732,False
5586,1,1,75,33,bg,53,/,"Mary",948,True
5586,1,1,76,21,bb,44,Z,"William",698,True
5586,1,1,77,41,bb,44,Z,"Samuel",661,True
5586,1,1,78,80,bb,44,Z,"Daniel",584,True
5586,1,1,79,37,bb,44,Z,"Arthur",821,True
5586,1,1,80,17,bb,44,Z,"Gabe",774,True
5586,1,1,81,96,bb,44,Z,"Carl",1245,True
5586,1,1,82,47,bb,44,Z,"Josh",679,True
5586,1,1,83,64,bb,44,Z,"Richard",651,True
5586,1,1,84,58,bb,44,Z,"Thomas",1096,True
5586,1,1,85,20,bb,44,Z,"Kelvin",686,True
5586,1,1,86,75,bb,53,/,"Isaac",1686,False
5586,1,1,87,52,bb,44,Z,"Harold",629,True
5586,1,1,88,14,bb,44,Z,"Liam",1052,True
5586,1,1,89,62,bb,44,Z,"Christian",940,True
5586,1,1,90,57,bb,44,Z,"Kyle",983,True
5586,1,1,91,40,bb,44,Z,"Bobby",873,True
5586,1,1,92,18,bb,44,Z,"Andrew",712,True
5586,1,1,93,65,bb,44,Z,"Alexander",715,True
5586,1,1,94,79,bb,53,/,"Nathan",1083,False
5586,1,1,95,19,bb,44,Z,"Jack",747,True
5586,1,1,96,32,bb,44,Z,"Stephen",684,True
5586,1,1,97,55,bb,44,Z,"Evan",669,True
5586,1,1,98,8,bb,44,Z,"Scott",2489,True
5586,1,1,99,86,bb,53,/,"Marc",1115,False
5586,1,1,100,98,e,2,2,"rec.bmp",2199,False
5586,1,1,101,99,e,2,2,"sex.bmp",2394,False
5586,1,1,103,100,e,-1,Asian,"Please indicate your race:",5803,True
5586,1,1,103,101,e,-1,21,"Please indicate your age:",2385,True
5586,1,1,104,102,e,-1,0,"Please indicate how much exposure you have to children in a typical week in hours:",9427,True
5586,1,1,105,103,e,0,,"",0,False
