Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8799,1,1,1,1,e,57,SPACE,Inst,29446,TRUE,
8799,1,1,2,58,gg,53,/,Emma,631,TRUE,
8799,1,1,3,17,gg,53,/,Brittney,694,TRUE,
8799,1,1,4,84,gg,53,/,Heather,788,TRUE,
8799,1,1,5,61,gg,53,/,Jill,1067,TRUE,
8799,1,1,6,74,gg,44,Z,Lillian,680,FALSE,
8799,1,1,7,31,gg,53,/,Paula,918,TRUE,
8799,1,1,8,89,gg,53,/,Tiffany,1550,TRUE,
8799,1,1,9,67,gg,53,/,Penny,855,TRUE,
8799,1,1,10,5,gg,53,/,Joy,864,TRUE,
8799,1,1,11,47,gg,53,/,Olivia,814,TRUE,
8799,1,1,12,39,gg,53,/,Bella,765,TRUE,
8799,1,1,13,92,gg,53,/,Gabriella,856,TRUE,
8799,1,1,14,38,gg,53,/,Mia,780,TRUE,
8799,1,1,15,82,gg,53,/,Carmen,1502,TRUE,
8799,1,1,16,59,gg,53,/,Claire,588,TRUE,
8799,1,1,17,90,gg,53,/,Amelia,1159,TRUE,
8799,1,1,18,53,gg,53,/,Hailey,1542,TRUE,
8799,1,1,19,20,gg,53,/,Stephanie,843,TRUE,
8799,1,1,20,66,gg,53,/,Brianna,634,TRUE,
8799,1,1,21,8,gg,53,/,Cindy,915,TRUE,
8799,1,1,22,50,gg,53,/,Alice,847,TRUE,
8799,1,1,23,7,gg,53,/,Rihanna,1178,TRUE,
8799,1,1,24,57,gg,53,/,Grace,874,TRUE,
8799,1,1,25,80,gg,53,/,Elizabeth,734,TRUE,
8799,1,1,26,52,gb,44,Z,Hector,1073,TRUE,
8799,1,1,27,15,gb,44,Z,Nathan,736,TRUE,
8799,1,1,28,72,gb,44,Z,Carl,1089,TRUE,
8799,1,1,29,88,gb,44,Z,Kyle,758,TRUE,
8799,1,1,30,16,gb,44,Z,Alexander,865,TRUE,
8799,1,1,31,96,gb,44,Z,Clark,897,TRUE,
8799,1,1,32,78,gb,44,Z,Stephen,1224,TRUE,
8799,1,1,33,85,gb,44,Z,Scott,739,TRUE,
8799,1,1,34,36,gb,44,Z,Adam,705,TRUE,
8799,1,1,35,63,gb,44,Z,Jack,651,TRUE,
8799,1,1,36,70,gb,44,Z,Evan,662,TRUE,
8799,1,1,37,27,gb,44,Z,John,864,TRUE,
8799,1,1,38,56,gb,44,Z,Ryan,811,TRUE,
8799,1,1,39,13,gb,44,Z,Erik,911,TRUE,
8799,1,1,40,97,gb,44,Z,Victor,1636,TRUE,
8799,1,1,41,71,gb,44,Z,Daniel,1020,TRUE,
8799,1,1,42,9,gb,44,Z,Brian,1141,TRUE,
8799,1,1,43,76,gb,44,Z,Arthur,1034,TRUE,
8799,1,1,44,32,gb,44,Z,Lucas,913,TRUE,
