Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8801,1,1,1,1,e,57,SPACE,Inst,21341,TRUE,
8801,1,1,2,34,gg,53,/,Layla,500,TRUE,
8801,1,1,3,35,gg,53,/,Gabriella,775,TRUE,
8801,1,1,4,82,gg,53,/,Claire,620,TRUE,
8801,1,1,5,46,gg,53,/,Nicole,910,TRUE,
8801,1,1,6,45,gg,53,/,Scarlett,774,TRUE,
8801,1,1,7,57,gg,53,/,Diana,798,TRUE,
8801,1,1,8,74,gg,53,/,Victoria,652,TRUE,
8801,1,1,9,63,gg,53,/,Elizabeth,597,TRUE,
8801,1,1,10,60,gg,53,/,Carmen,1035,TRUE,
8801,1,1,11,86,gg,53,/,Samantha,589,TRUE,
8801,1,1,12,8,gg,53,/,Rihanna,617,TRUE,
8801,1,1,13,65,gg,53,/,Michelle,869,TRUE,
8801,1,1,14,83,gg,44,Z,Lillian,875,FALSE,
8801,1,1,15,33,gg,53,/,Grace,864,TRUE,
8801,1,1,16,53,gg,53,/,Hailey,776,TRUE,
8801,1,1,17,52,gg,53,/,Amelia,1218,TRUE,
8801,1,1,18,26,gg,53,/,Daniella,566,TRUE,
8801,1,1,19,72,gg,53,/,Natalie,611,TRUE,
8801,1,1,20,51,gg,53,/,Emma,644,TRUE,
8801,1,1,21,24,gg,53,/,Mia,683,TRUE,
8801,1,1,22,37,gg,53,/,Alexandra,682,TRUE,
8801,1,1,23,73,gg,53,/,Heather,562,TRUE,
8801,1,1,24,94,gg,53,/,Anna,768,TRUE,
8801,1,1,25,13,gg,44,Z,Isabella,504,FALSE,
8801,1,1,26,71,gb,44,Z,Richard,720,TRUE,
8801,1,1,27,85,gb,44,Z,Timothy,688,TRUE,
8801,1,1,28,19,gb,44,Z,Scott,783,TRUE,
8801,1,1,29,67,gb,44,Z,Anthony,611,TRUE,
8801,1,1,30,66,gb,44,Z,Paul,770,TRUE,
8801,1,1,31,76,gb,44,Z,Cameron,767,TRUE,
8801,1,1,32,91,gb,44,Z,Isaac,922,TRUE,
8801,1,1,33,29,gb,44,Z,Michael,821,TRUE,
8801,1,1,34,75,gb,44,Z,John,624,TRUE,
8801,1,1,35,3,gb,44,Z,Simon,1749,TRUE,
8801,1,1,36,31,gb,44,Z,Hector,1020,TRUE,
8801,1,1,37,27,gb,44,Z,Samuel,887,TRUE,
8801,1,1,38,79,gb,44,Z,Lucas,697,TRUE,
8801,1,1,39,87,gb,44,Z,Peter,653,TRUE,
8801,1,1,40,81,gb,44,Z,Marc,646,TRUE,
8801,1,1,41,61,gb,44,Z,Brett,825,TRUE,
8801,1,1,42,9,gb,44,Z,Ryan,3463,TRUE,
8801,1,1,43,50,gb,44,Z,Ethan,964,TRUE,
8801,1,1,44,16,gb,44,Z,Nicholas,2052,TRUE,
8801,1,1,45,30,gb,44,Z,Victor,971,TRUE,
8801,1,1,46,5,gb,44,Z,William,1976,TRUE,
8801,1,1,47,58,gb,44,Z,Gabe,757,TRUE,
8801,1,1,48,68,gb,44,Z,Alexander,505,TRUE,
8801,1,1,49,44,gb,44,Z,Stephen,1082,TRUE,
8801,1,1,52,15,bg,53,/,Cindy,1546,TRUE,
8801,1,1,53,80,bg,53,/,Wendy,891,TRUE,
8801,1,1,54,90,bg,53,/,Joy,703,TRUE,
8801,1,1,55,92,bg,53,/,Kaitlyn,700,TRUE,
8801,1,1,56,25,bg,53,/,Erica,840,TRUE,
8801,1,1,57,17,bg,53,/,Kaylee,1017,TRUE,
8801,1,1,58,48,bg,53,/,Christina,737,TRUE,
8801,1,1,59,14,bg,53,/,Joanne,1219,TRUE,
8801,1,1,60,23,bg,53,/,Olivia,563,TRUE,
8801,1,1,61,69,bg,53,/,Sarah,628,TRUE,
8801,1,1,62,32,bg,53,/,Tiffany,651,TRUE,
8801,1,1,63,7,bg,53,/,Lucy,1409,TRUE,
8801,1,1,64,95,bg,53,/,Alice,624,TRUE,
8801,1,1,65,59,bg,53,/,Mary,663,TRUE,
