Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8803,1,1,1,1,e,57,SPACE,Inst,21536,TRUE,
8803,1,1,2,69,gg,53,/,Daniella,585,TRUE,
8803,1,1,3,60,gg,53,/,Scarlett,619,TRUE,
8803,1,1,4,42,gg,53,/,Charlotte,624,TRUE,
8803,1,1,5,61,gg,53,/,Sarah,560,TRUE,
8803,1,1,6,53,gg,53,/,Hailey,606,TRUE,
8803,1,1,7,73,gg,53,/,Joanne,667,TRUE,
8803,1,1,8,45,gg,53,/,Rihanna,801,TRUE,
8803,1,1,9,26,gg,53,/,Brittney,651,TRUE,
8803,1,1,10,21,gg,53,/,Victoria,652,TRUE,
8803,1,1,11,22,gg,53,/,Paula,928,TRUE,
8803,1,1,12,92,gg,53,/,Heather,569,TRUE,
8803,1,1,13,10,gg,53,/,Gabriella,986,TRUE,
8803,1,1,14,82,gg,53,/,Alyssa,602,TRUE,
8803,1,1,15,52,gg,53,/,Emma,600,TRUE,
8803,1,1,16,20,gg,53,/,Cindy,579,TRUE,
8803,1,1,17,44,gg,53,/,Tiffany,644,TRUE,
8803,1,1,18,2,gg,53,/,Nicole,2315,TRUE,
8803,1,1,19,11,gg,53,/,Stephanie,873,TRUE,
8803,1,1,20,23,gg,53,/,Olivia,667,TRUE,
8803,1,1,21,87,gg,53,/,Layla,613,TRUE,
8803,1,1,22,95,gg,53,/,Kaylee,736,TRUE,
8803,1,1,23,30,gg,53,/,Elizabeth,557,TRUE,
8803,1,1,24,88,gg,53,/,Mary,914,TRUE,
8803,1,1,25,81,gg,53,/,Tamara,644,TRUE,
8803,1,1,26,48,gb,44,Z,Kyle,704,TRUE,
8803,1,1,27,55,gb,44,Z,Gary,743,TRUE,
8803,1,1,28,3,gb,44,Z,Charles,2038,TRUE,
8803,1,1,29,34,gb,44,Z,Mike,608,TRUE,
8803,1,1,30,63,gb,44,Z,Ryan,695,TRUE,
8803,1,1,31,94,gb,44,Z,Kelvin,667,TRUE,
8803,1,1,32,41,gb,44,Z,Bobby,717,TRUE,
8803,1,1,33,74,gb,44,Z,Adam,647,TRUE,
8803,1,1,34,33,gb,44,Z,Brian,625,TRUE,
8803,1,1,35,27,gb,44,Z,Gabe,793,TRUE,
8803,1,1,36,72,gb,44,Z,Edward,537,TRUE,
8803,1,1,37,40,gb,53,/,Clark,1348,FALSE,
8803,1,1,38,93,gb,44,Z,Thomas,745,TRUE,
8803,1,1,39,32,gb,44,Z,Nathan,643,TRUE,
8803,1,1,40,75,gb,44,Z,Harold,821,TRUE,
8803,1,1,41,8,gb,44,Z,Carl,1163,TRUE,
8803,1,1,42,31,gb,44,Z,Victor,654,TRUE,
8803,1,1,43,17,gb,44,Z,Daniel,1251,TRUE,
8803,1,1,44,78,gb,44,Z,Christian,754,TRUE,
8803,1,1,45,64,gb,44,Z,Andrew,627,TRUE,
8803,1,1,46,85,gb,44,Z,Liam,729,TRUE,
8803,1,1,47,86,gb,44,Z,Hector,738,TRUE,
8803,1,1,48,96,gb,44,Z,Brett,714,TRUE,
8803,1,1,49,25,gb,44,Z,Anthony,730,TRUE,
8803,1,1,52,14,bg,53,/,Mia,735,TRUE,
8803,1,1,53,71,bg,53,/,Lillian,621,TRUE,
8803,1,1,54,50,bg,53,/,Christina,576,TRUE,
8803,1,1,55,70,bg,53,/,Natalie,705,TRUE,
8803,1,1,56,79,bg,53,/,Brianna,579,TRUE,
8803,1,1,57,56,bg,53,/,Rachel,649,TRUE,
