Subj,Cond,Block,Trial,Order,!Code,Resp,Name,Stim,RT,Correct,
8792,1,1,1,1,e,57,SPACE,Inst,11024,TRUE,
8792,1,1,2,23,gg,53,/,Natalie,777,TRUE,
8792,1,1,3,14,gg,53,/,Alexandra,1714,TRUE,
8792,1,1,4,74,gg,53,/,Wendy,641,TRUE,
8792,1,1,5,45,gg,53,/,Samantha,782,TRUE,
8792,1,1,6,70,gg,53,/,Scarlett,551,TRUE,
8792,1,1,7,33,gg,53,/,Emma,2779,TRUE,
8792,1,1,8,21,gg,53,/,Carmen,754,TRUE,
8792,1,1,9,46,gg,53,/,Olivia,982,TRUE,
8792,1,1,10,89,gg,53,/,Rihanna,658,TRUE,
8792,1,1,11,93,gg,53,/,Charlotte,1851,TRUE,
8792,1,1,12,66,gg,53,/,Paula,651,TRUE,
8792,1,1,13,28,gg,53,/,Tamara,2164,TRUE,
8792,1,1,14,44,gg,53,/,Anna,1799,TRUE,
8792,1,1,15,80,gg,53,/,Brianna,744,TRUE,
8792,1,1,16,25,gg,53,/,Kaylee,853,TRUE,
8792,1,1,17,42,gg,53,/,Diana,493,TRUE,
8792,1,1,18,94,gg,53,/,Jill,681,TRUE,
8792,1,1,19,11,gg,53,/,Lillian,753,TRUE,
8792,1,1,20,39,gg,53,/,Elizabeth,674,TRUE,
8792,1,1,21,12,gg,53,/,Erica,1075,TRUE,
8792,1,1,22,3,gg,53,/,Alyssa,1414,TRUE,
8792,1,1,23,72,gg,53,/,Daniella,1277,TRUE,
8792,1,1,24,83,gg,53,/,Eve,2774,TRUE,
8792,1,1,25,49,gg,53,/,Isabella,690,TRUE,
8792,1,1,26,47,gb,44,Z,Andrew,668,TRUE,
8792,1,1,27,26,gb,44,Z,Paul,810,TRUE,
8792,1,1,28,65,gb,44,Z,Brett,637,TRUE,
8792,1,1,29,10,gb,44,Z,Kelvin,753,TRUE,
8792,1,1,30,81,gb,44,Z,Lance,1994,TRUE,
8792,1,1,31,18,gb,44,Z,Samuel,1520,TRUE,
8792,1,1,32,15,gb,44,Z,Clark,756,TRUE,
8792,1,1,33,16,gb,44,Z,Mike,788,TRUE,
8792,1,1,34,50,gb,44,Z,Harold,1007,TRUE,
8792,1,1,35,92,gb,44,Z,Ryan,579,TRUE,
8792,1,1,36,82,gb,44,Z,Carl,673,TRUE,
8792,1,1,37,43,gb,44,Z,Hector,1201,TRUE,
8792,1,1,38,76,gb,44,Z,William,746,TRUE,
8792,1,1,39,88,gb,44,Z,Timothy,702,TRUE,
8792,1,1,40,55,gb,53,/,Gabe,546,FALSE,
8792,1,1,41,78,gb,44,Z,Kyle,5193,TRUE,
8792,1,1,42,4,gb,44,Z,Brian,1052,TRUE,
8792,1,1,43,96,gb,44,Z,Scott,732,TRUE,
8792,1,1,44,59,gb,44,Z,Thomas,956,TRUE,
8792,1,1,45,31,gb,44,Z,Oliver,372,TRUE,
8792,1,1,46,57,gb,44,Z,Richard,841,TRUE,
8792,1,1,47,19,gb,44,Z,Ethan,971,TRUE,
8792,1,1,48,38,gb,44,Z,Nathan,927,TRUE,
8792,1,1,49,37,gb,44,Z,Liam,767,TRUE,
8792,1,1,52,63,bg,53,/,Mary,578,TRUE,
8792,1,1,53,97,bg,53,/,Michelle,517,TRUE,
8792,1,1,54,5,bg,53,/,Joanne,864,TRUE,
8792,1,1,55,32,bg,53,/,Tiffany,813,TRUE,
8792,1,1,56,84,bg,53,/,Penny,855,TRUE,
8792,1,1,57,75,bg,53,/,Amelia,735,TRUE,
8792,1,1,58,9,bg,53,/,Joy,1526,TRUE,
8792,1,1,59,79,bg,53,/,Gabriella,17,TRUE,
8792,1,1,60,6,bg,53,/,Kaitlyn,1029,TRUE,
8792,1,1,61,40,bg,53,/,Grace,1199,TRUE,
8792,1,1,62,13,bg,53,/,Rachel,1135,TRUE,
8792,1,1,63,48,bg,53,/,Mia,720,TRUE,
8792,1,1,64,20,bg,53,/,Cindy,620,TRUE,
8792,1,1,65,2,bg,53,/,Nicole,3054,TRUE,
8792,1,1,66,86,bg,53,/,Layla,945,TRUE,
8792,1,1,67,7,bg,53,/,Lucy,675,TRUE,
8792,1,1,68,34,bg,53,/,Bella,899,TRUE,
8792,1,1,69,41,bg,53,/,Heather,631,TRUE,
8792,1,1,70,95,bg,53,/,Sarah,797,TRUE,
8792,1,1,71,36,bg,53,/,Stephanie,1767,TRUE,
8792,1,1,72,71,bg,44,Z,Alice,465,FALSE,
8792,1,1,73,58,bg,53,/,Brittney,863,TRUE,
8792,1,1,74,29,bg,53,/,Claire,805,TRUE,
8792,1,1,75,61,bg,53,/,Hailey,2213,TRUE,
8792,1,1,76,90,bb,44,Z,Adam,543,TRUE,
8792,1,1,77,62,bb,44,Z,Arthur,1253,TRUE,
8792,1,1,78,73,bb,44,Z,Christian,586,TRUE,
8792,1,1,79,24,bb,44,Z,Peter,2723,TRUE,
8792,1,1,80,85,bb,44,Z,David,1893,TRUE,
8792,1,1,81,68,bb,44,Z,John,501,TRUE,
8792,1,1,82,69,bb,44,Z,Gary,425,TRUE,
8792,1,1,83,87,bb,44,Z,Victor,1682,TRUE,
8792,1,1,84,27,bb,44,Z,Lucas,705,TRUE,
8792,1,1,85,91,bb,44,Z,Stephen,720,TRUE,
8792,1,1,86,35,bb,44,Z,Anthony,1774,TRUE,
8792,1,1,87,52,bb,44,Z,Isaac,763,TRUE,
8792,1,1,88,64,bb,44,Z,Marc,1698,TRUE,
8792,1,1,89,22,bb,44,Z,Erik,1395,TRUE,
8792,1,1,90,53,bb,44,Z,Edward,644,TRUE,
8792,1,1,91,60,bb,44,Z,Nicholas,732,TRUE,
8792,1,1,92,8,bb,44,Z,Simon,640,TRUE,
8792,1,1,93,54,bb,44,Z,Evan,754,TRUE,
8792,1,1,94,17,bb,44,Z,Bobby,692,TRUE,
8792,1,1,95,67,bb,44,Z,Josh,865,TRUE,
8792,1,1,96,77,bb,44,Z,Cameron,643,TRUE,
8792,1,1,97,51,bb,44,Z,Daniel,878,TRUE,
8792,1,1,98,56,bb,44,Z,Michael,1051,TRUE,
8792,1,1,99,30,bb,44,Z,Charles,588,TRUE,
8792,1,1,100,98,e,3,2,rec,2856,FALSE,
8792,1,1,101,99,e,3,2,sex,4777,FALSE,
8792,1,1,103,100,e,-1,Caucasian,Please indicate your race:,5704,TRUE,
8792,1,1,103,101,e,-1,18,Please indicate your age:,2294,TRUE,
8792,1,1,104,102,e,-1,<1,Please indicate how much exposure you have to children in a typical week in hours:,17695,TRUE,
