Subj,Cond,Block,Trial,Order,Code,Resp,Name,Stim,RT,Correct
5569,1,1,1,1,e,57,SPACE,"Inst.bmp",20999,True
5569,1,1,2,10,gg,53,/,"Mia",724,True
5569,1,1,3,94,gg,53,/,"Michelle",630,True
5569,1,1,4,60,gg,53,/,"Rihanna",696,True
5569,1,1,5,75,gg,53,/,"Brianna",694,True
5569,1,1,6,25,gg,53,/,"Penny",710,True
5569,1,1,7,82,gg,53,/,"Christina",1466,True
5569,1,1,8,53,gg,53,/,"Natalie",798,True
5569,1,1,9,70,gg,53,/,"Stephanie",563,True
5569,1,1,10,46,gg,53,/,"Charlotte",1003,True
5569,1,1,11,65,gg,53,/,"Claire",567,True
5569,1,1,12,85,gg,53,/,"Joy",805,True
5569,1,1,13,67,gg,53,/,"Hailey",730,True
5569,1,1,14,21,gg,53,/,"Lucy",934,True
5569,1,1,15,74,gg,53,/,"Isabella",623,True
5569,1,1,16,41,gg,53,/,"Joanne",755,True
5569,1,1,17,90,gg,44,Z,"Scarlett",1047,False
5569,1,1,18,63,gg,44,Z,"Grace",1069,False
5569,1,1,19,54,gg,53,/,"Carmen",1336,True
5569,1,1,20,80,gg,53,/,"Emma",860,True
5569,1,1,21,6,gg,53,/,"Wendy",676,True
5569,1,1,22,68,gg,53,/,"Eve",637,True
5569,1,1,23,69,gg,53,/,"Alyssa",837,True
5569,1,1,24,81,gg,53,/,"Kaitlyn",985,True
5569,1,1,25,51,gg,53,/,"Alice",682,True
5569,1,1,26,29,gb,44,Z,"Anthony",1016,True
5569,1,1,27,12,gb,44,Z,"Lance",1095,True
5569,1,1,28,35,gb,44,Z,"Clark",1801,True
5569,1,1,29,92,gb,44,Z,"Arthur",1004,True
5569,1,1,30,57,gb,44,Z,"Ryan",640,True
5569,1,1,31,83,gb,44,Z,"Charles",776,True
5569,1,1,32,13,gb,44,Z,"Mike",627,True
5569,1,1,33,28,gb,44,Z,"John",1341,True
5569,1,1,34,61,gb,53,/,"Daniel",1367,False
5569,1,1,35,97,gb,44,Z,"Adam",794,True
5569,1,1,36,55,gb,44,Z,"Nicholas",941,True
5569,1,1,37,88,gb,44,Z,"Alexander",884,True
5569,1,1,38,11,gb,44,Z,"William",1032,True
5569,1,1,39,44,gb,44,Z,"Timothy",698,True
5569,1,1,40,62,gb,44,Z,"Marc",879,True
5569,1,1,41,73,gb,44,Z,"Peter",597,True
5569,1,1,42,76,gb,44,Z,"Richard",585,True
5569,1,1,43,24,gb,44,Z,"Simon",1139,True
5569,1,1,44,23,gb,44,Z,"Kelvin",777,True
5569,1,1,45,87,gb,44,Z,"Josh",973,True
5569,1,1,46,15,gb,44,Z,"Thomas",793,True
5569,1,1,47,43,gb,53,/,"Cameron",1251,False
5569,1,1,48,22,gb,44,Z,"Erik",809,True
5569,1,1,49,7,gb,44,Z,"Bobby",1138,True
5569,1,1,52,77,bg,53,/,"Paula",707,True
5569,1,1,53,32,bg,53,/,"Gabriella",668,True
5569,1,1,54,45,bg,53,/,"Mary",703,True
5569,1,1,55,96,bg,53,/,"Rachel",786,True
5569,1,1,56,93,bg,53,/,"Anna",739,True
5569,1,1,57,4,bg,53,/,"Daniella",1020,True
5569,1,1,58,8,bg,53,/,"Olivia",763,True
5569,1,1,59,86,bg,53,/,"Bella",604,True
5569,1,1,60,18,bg,53,/,"Alexandra",905,True
5569,1,1,61,64,bg,53,/,"Kaylee",692,True
5569,1,1,62,59,bg,53,/,"Jill",899,True
5569,1,1,63,52,bg,53,/,"Samantha",758,True
5569,1,1,64,27,bg,53,/,"Diana",672,True
5569,1,1,65,39,bg,53,/,"Erica",742,True
5569,1,1,66,16,bg,53,/,"Elizabeth",906,True
5569,1,1,67,37,bg,44,Z,"Heather",770,False
5569,1,1,68,89,bg,53,/,"Cindy",923,True
5569,1,1,69,78,bg,53,/,"Tamara",744,True
5569,1,1,70,48,bg,53,/,"Victoria",647,True
5569,1,1,71,58,bg,53,/,"Tiffany",2088,True
5569,1,1,72,42,bg,53,/,"Brittney",652,True
5569,1,1,73,5,bg,53,/,"Sarah",771,True
5569,1,1,74,33,bg,53,/,"Lillian",1660,True
5569,1,1,75,31,bg,53,/,"Layla",771,True
5569,1,1,76,66,bb,44,Z,"Carl",1202,True
5569,1,1,77,14,bb,53,/,"Kyle",1066,False
5569,1,1,78,38,bb,44,Z,"Scott",989,True
5569,1,1,79,91,bb,44,Z,"Edward",837,True
5569,1,1,80,50,bb,53,/,"Lucas",716,False
5569,1,1,81,56,bb,44,Z,"Ethan",774,True
5569,1,1,82,72,bb,53,/,"Gabe",971,False
5569,1,1,83,30,bb,44,Z,"Jack",679,True
5569,1,1,84,20,bb,44,Z,"Brett",731,True
5569,1,1,85,49,bb,44,Z,"Samuel",679,True
5569,1,1,86,36,bb,44,Z,"Evan",802,True
5569,1,1,87,40,bb,44,Z,"Victor",746,True
5569,1,1,88,84,bb,44,Z,"Christian",2762,True
5569,1,1,89,9,bb,44,Z,"Andrew",686,True
5569,1,1,90,79,bb,44,Z,"Paul",986,True
5569,1,1,91,17,bb,44,Z,"Gary",742,True
5569,1,1,92,34,bb,44,Z,"Isaac",801,True
5569,1,1,93,95,bb,53,/,"Oliver",709,False
5569,1,1,94,2,bb,44,Z,"David",1394,True
5569,1,1,95,26,bb,44,Z,"Harold",1889,True
5569,1,1,96,71,bb,44,Z,"Brian",669,True
5569,1,1,97,3,bb,44,Z,"Nathan",1017,True
5569,1,1,98,19,bb,44,Z,"Michael",1053,True
5569,1,1,99,47,bb,44,Z,"Liam",1100,True
5569,1,1,100,98,e,1,1,"rec.bmp",4898,True
5569,1,1,101,99,e,2,2,"sex.bmp",3514,False
5569,1,1,103,100,e,-1,Indian,"Please indicate your race:",54294,True
5569,1,1,103,101,e,-1,26,"Please indicate your age:",2581,True
5569,1,1,104,102,e,-1,1,"Please indicate how much exposure you have to children in a typical week in hours:",13418,True
5569,1,1,105,103,e,57,SPACE,"debrief.bmp",53819,True
