"id","file.id","sex","face","name","mean","median","race","age","exposure"
20,"5663",-0.5,-0.5,0.5,848.086956521739,783,"Caucasian",25,0
21,"8762",0.5,-0.5,0.5,807.75,752.5,"chinese",18,1
22,"8763",0.5,-0.5,0.5,694.565217391304,676,"South American",18,2
23,"8764",0.5,-0.5,0.5,1066.5,938.5,"chinese",21,0
24,"8765",0.5,-0.5,0.5,751.866666666667,722,"caucasian",23,0
25,"8766",0.5,-0.5,0.5,762.090909090909,726,"Asian",17,5
26,"8767",0.5,-0.5,0.5,1108.38095238095,921,"caucasian ",18,0
27,"8768",0.5,-0.5,0.5,903.555555555556,766.5,"asian",21,6
28,"8769",0.5,-0.5,0.5,965.095238095238,858,"afghanistan",22,6
29,"8771",-0.5,-0.5,0.5,1414.6,1299.5,"Asian",19,0
30,"8776",0.5,-0.5,0.5,1290.46666666667,1128,"Asian ",18,2
31,"8777",0.5,-0.5,0.5,927.75,871.5,"caucasian",19,1
32,"8778",0.5,-0.5,0.5,760.166666666667,728,"caucasian",18,1
33,"8779",0.5,-0.5,0.5,675.826086956522,651,"Jewish",17,40
34,"8780",0.5,-0.5,0.5,740.913043478261,695,"South Asian",18,5
35,"8781",0.5,-0.5,0.5,549.318181818182,558,"caucasian",20,0
36,"8782",0.5,-0.5,0.5,685.952380952381,646,"East Asian",19,1
37,"8783",0.5,-0.5,0.5,1155.4347826087,1130,"caucasian",21,4
38,"8784",0.5,-0.5,0.5,737.454545454545,687.5,"korean",19,5
39,"8785",0.5,-0.5,0.5,624.866666666667,630,"East Asian",19,2
40,"8790",-0.5,-0.5,0.5,539.521739130435,534,"Caucasian",20,2
41,"8791",-0.5,-0.5,0.5,741.954545454545,737,"Chinese",22,1
42,"8792",-0.5,-0.5,0.5,884.181818181818,777.5,"Caucasian",18,1
43,"8793",0.5,-0.5,0.5,855.235294117647,810,"eastasian",20,0
44,"8796",0.5,-0.5,0.5,1104.33333333333,991,"caucasian",17,0
45,"8797",0.5,-0.5,0.5,635.583333333333,626.5,"Asian, Latin",20,0.5
46,"8798",-0.5,-0.5,0.5,935.434782608696,932,"White",18,0
47,"8799",0.5,-0.5,0.5,976.545454545455,904,"Caucasian",20,1
48,"8800",0.5,-0.5,0.5,720.260869565217,698,"hispanic",20,0
49,"8801",-0.5,-0.5,0.5,934.347826086957,783,"south asian",26,1
50,"8802",0.5,-0.5,0.5,967.714285714286,859,"South Asian",18,35
51,"8803",0.5,-0.5,0.5,741.136363636364,715.5,"african descent (like all humans)",19,2
52,"8804",0.5,-0.5,0.5,712.380952380952,613,"italan and japanese",18,48
1,"5480",-0.5,0.5,-0.5,718,661.5,"East African",19,0
2,"5481",-0.5,0.5,-0.5,703.434782608696,680,"South Asian",25,0
3,"5493",-0.5,0.5,-0.5,843.578947368421,807,"Chinese",24,0
4,"5507",-0.5,0.5,-0.5,568.086956521739,526,"Chinese",18,4
5,"5509",-0.5,0.5,-0.5,919.772727272727,812,"Asian",24,1
6,"5517",-0.5,0.5,-0.5,1044.27272727273,869,"brown",18,16
7,"5521",-0.5,0.5,-0.5,1459.5,1382,"east asian",27,0
8,"5569",-0.5,0.5,-0.5,806,751,"Indian",26,1
