"Insructions","gg1","gg2","gg3","gg4","gg5","gg6","gg7","gg8","gg9","gg10","gg11","gg12","gg13","gg14","gg15","gg16","gg17","gg18","gg19","gg20","gg21","gg22","gg23","gg24","gb1","gb2","gb3","gb4","gb5","gb6","gb7","gb8","gb9","gb10","gb11","gb12","gb13","gb14","gb15","gb16","gb17","gb18","gb19","gb20","gb21","gb22","gb23","gb24","bg1","bg2","bg3","bg4","bg5","bg6","bg7","bg8","bg9","bg10","bg11","bg12","bg13","bg14","bg15","bg16","bg17","bg18","bg19","bg20","bg21","bg22","bg23","bg24","bb1","bb2","bb3","bb4","bb5","bb6","bb7","bb8","bb9","bb10","bb11","bb12","bb13","bb14","bb15","bb16","bb17","bb18","bb19","bb20","bb21","bb22","bb23","bb24","recognize","sex","race","age","exposure","debrief","file.id"
"SPACE","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","Z","/","Z","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","Z","Z","Z","/","Z","Z","Z","Z","Z","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","1","1","chinese","18","1","SPACE","8762"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","South American","18","2","SPACE","8763"
"SPACE","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","Z","/","/","/","Z","Z","Z","/","Z","Z","Z","Z","/","/","/","Z","/","Z","Z","Z","/","Z","/","Z","Z","Z","/","/","/","Z","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","/","Z","Z","/","Z","Z","Z","Z","/","/","Z","Z","/","Z","2","1","chinese","21","0","SPACE","8764"
"SPACE","/","/","Z","/","/","/","Z","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","/","/","Z","Z","/","/","Z","/","/","Z","/","Z","/","Z","/","Z","Z","Z","Z","/","/","Z","Z","/","Z","Z","Z","/","/","/","Z","/","Z","/","Z","/","Z","Z","Z","/","Z","Z","Z","/","Z","Z","Z","/","/","Z","/","Z","Z","Z","Z","/","Z","/","2","1","caucasian","23","0","SPACE","8765"
"SPACE","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","Asian","17","5","SPACE","8766"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","2","1","caucasian ","18","0","SPACE","8767"
"SPACE","Z","/","Z","/","/","/","/","/","/","Z","Z","/","/","/","/","/","Z","/","/","/","Z","Z","/","/","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","/","/","/","Z","Z","Z","/","Z","Z","Z","/","Z","/","/","Z","/","Z","/","/","Z","Z","/","Z","Z","Z","/","/","/","/","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","asian","21","6","SPACE","8768"
"SPACE","Z","/","Z","/","/","Z","/","/","/","/","Z","Z","/","/","/","/","/","/","/","/","Z","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","Z","/","/","/","/","/","/","/","/","/","/","Z","/","/","Z","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","/","2","1","afghanistan","22","6","SPACE","8769"
"SPACE","/","/","/","/","/","/","Z","/","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","1","2","Asian","19","0","SPACE","8771"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","Z","Z","/","Z","Z","Z","/","Z","Z","/","Z","Z","Z","/","/","Z","Z","/","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","2","1","Asian ","18","2","SPACE","8776"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","caucasian","19","1","SPACE","8777"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","caucasian","18","1","SPACE","8778"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","Jewish","17","40","SPACE","8779"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","South Asian","18","5","SPACE","8780"
"SPACE","/","Z","/","/","Z","/","/","/","/","/","/","/","/","/","/","Z","Z","/","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","/","/","/","Z","/","/","Z","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","caucasian","20","0","SPACE","8781"
"SPACE","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","Z","Z","/","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","Z","/","/","/","Z","/","/","/","/","/","/","Z","/","/","Z","/","/","/","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","East Asian","19","1","SPACE","8782"
